"Network","JSD","MinFrust","MeanFrust","MaxFrust","MinCoh","MeanCoh","MaxCoh","Gs","InflVal","InflVal2","Jmetric","posLoops","posWeighted","negWeighted","negLoops","Hybridness","posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency"
"GRHL2_ZEB_2_0",0.101875565699466,0,0.166666666666667,0.333333333333333,0.25,0.5,0.75,0.975,3.9,-2,-5.5033180503229,2,1.5,0,0,0,3,1.66666666666667,0,0,0
"GRHL2_ZEB_2_1",0.102155900553646,0.142857142857143,0.285714285714286,0.428571428571429,0.25,0.5,0.75,0.0741507400463105,2.34306963896648,-1.35724473785274,NA,2,1.5,1,0.5,0,3,1.66666666666667,0,0,0
"miR200_ZEB_2_0",0.00450776979508703,0,0.222222222222222,0.333333333333333,0.09,0.291666666666667,0.63,0.975,3.9,-2,-5.63277776970763,2,1.5,0,0,0,2,1.33333333333333,0,0,0
"miR200_ZEB_2_1",0.00648375323091537,0.142857142857143,0.285714285714286,0.428571428571429,0.13,0.293333333333333,0.5,0.0741507400463105,2.34306963896648,-1.35724473785274,NA,2,1.5,1,0.5,0,2,1.33333333333333,1,0.333333333333333,1
"SNAIL_miR200_2_0",0.114642576057586,0,0.0833333333333333,0.166666666666667,0.5,0.535,0.57,0.975,8.6,-4,-5.07649440958094,3,2,0,0,0,1,1,0,0,0
"SNAIL_miR200_2_1",0.27044645068928,0.142857142857143,0.19047619047619,0.285714285714286,0.25,0.353333333333333,0.5,0.975,8.6,-4,NA,3,2,0,0,0,1,1,2,0.666666666666667,1
"SNAIL_ZEB_1_0",0.00226676942713348,0,0.166666666666667,0.333333333333333,0.1,0.36,0.64,0.975,8.6,-4,-5.41682765079285,3,2,0,0,0,1,1,0,0,0
"SNAIL_ZEB_1_2",0.00823967157218715,0.142857142857143,0.19047619047619,0.285714285714286,0.25,0.353333333333333,0.5,0.975,8.6,-4,NA,3,2,0,0,0,1,1,2,0.666666666666667,1
"wild",0,0,0.238095238095238,0.428571428571429,0.1,0.326666666666667,0.64,0.975,8.6,-4,-5.49724846533713,3,2,0,0,0,3,1.66666666666667,0,0,0
"ZEB_GRHL2_2_0",0.223087291404921,0,0.3,0.5,0.25,0.375,0.5,0.975,3.9,-2,-5.25278423115039,2,1.5,0,0,0,3,1.66666666666667,0,0,0
"ZEB_GRHL2_2_1",1,0.142857142857143,0.285714285714286,0.428571428571429,0.25,0.5,0.75,0.11081972803275,2.34306963896648,-1.35724473785274,NA,2,1.5,1,0.5,0,3,1.66666666666667,0,0,0
"ZEB_miR200_2_0",0.153554111759468,0,0.166666666666667,0.333333333333333,0.35,0.4925,0.62,0.975,3.9,-2,-6,2,1.5,0,0,0,2,1.33333333333333,0,0,0
"ZEB_miR200_2_1",0.301646828392748,0.142857142857143,0.238095238095238,0.285714285714286,0.25,0.33,0.38,0.11081972803275,2.34306963896648,-1.35724473785274,NA,2,1.5,1,0.5,0,2,1.33333333333333,1,0.333333333333333,1
"ZEB_ZEB_1_0",0.103951782150568,0,0.166666666666667,0.333333333333333,0.18,0.475,0.75,0.5,4.5,-2,-5.54071195929358,2,1,0,0,0,2,0.666666666666667,0,0,0
"ZEB_ZEB_1_2",0.104142852232791,0.142857142857143,0.285714285714286,0.428571428571429,0.17,0.4725,0.75,0.025,0.4,0,NA,2,1,1,1,0,2,0.666666666666667,1,1,1
