"Network","JSD","MinFrust","MeanFrust","MaxFrust","MinCoh","MeanCoh","MaxCoh","Gs","InflVal","InflVal2","Jmetric","posLoops","posWeighted","negWeighted","negLoops","Hybridness","posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency"
"miR145_OCT4_2_0",0.167433239168335,0.111111111111111,0.259259259259259,0.444444444444444,0.08,0.265,0.51,0.975,8.6,-4,-6.50299864323971,3,2,0,0,0.217933333333333,3,1.66666666666667,4,1,1
"miR145_OCT4_2_1",1,0.1,0.2,0.3,0.53,0.6175,0.7,0.564655575442124,7.53346158382437,-3.54504363164566,NA,4,2.25,1,0.5,0,7,2.66666666666667,4,1,1
"miR145_ZEB_2_0",0.194783462101721,0.111111111111111,0.185185185185185,0.333333333333333,0.17,0.42,0.58,0.0381775200666555,8.02019269326617,-4.11427976541942,-7,3,2,1,0.25,0.598266666666667,3,1.66666666666667,4,1,1
"miR145_ZEB_2_1",0.202954642598287,0.1,0.2,0.3,0.31,0.446666666666667,0.52,0.0120491205959086,3.39247387859515,-1.74751292612857,NA,3,2,2,0.75,0.6718,7,2.66666666666667,4,1,1
"miR200_ZEB_2_0",0.072090803080508,0.111111111111111,0.185185185185185,0.222222222222222,0.26,0.488333333333333,0.73,0.925,8.3,-3.8,-7,3,2,0,0,0.190233333333333,2,1.33333333333333,4,1,1
"miR200_ZEB_2_1",0.0713325164339896,0.2,0.233333333333333,0.3,0.29,0.493333333333333,0.71,0.0652286140098979,5.58602971446399,-2.7666083139828,NA,4,2.25,1,0.5,0.186366666666667,6,2.33333333333333,5,1.33333333333333,2
"OCT4_miR145_2_0",0.180553024844142,0.111111111111111,0.222222222222222,0.333333333333333,0.49,0.58,0.67,0.46706873482958,10.453710140771,-5.48781871462983,-7,3,2,1,0.25,0,3,1.66666666666667,4,1,1
"OCT4_miR145_2_1",0.180739287230061,0.2,0.3,0.4,0.44,0.56,0.66,0.361568117318915,6.96134658439443,-3.695458917677,NA,3,2,2,0.75,0,7,2.66666666666667,4,1,1
"OCT4_miR200_1_0",0.100281525842101,0,0.244444444444444,0.444444444444444,0.09,0.334,0.71,0.9125,14.6,-7.4,-6.99999313901487,4,2.5,0,0,0.277333333333333,3,1.66666666666667,0,0,0
"OCT4_miR200_1_2",0.370625164609226,0,0.166666666666667,0.3,0.28,0.493333333333333,0.7,0.91875,14.7,-7.5,NA,5,2.75,0,0,0.1881,11,3.66666666666667,0,0,0
"SNAIL_miR200_2_0",0.19779200675658,0.111111111111111,0.240740740740741,0.333333333333333,0.16,0.26,0.41,0.509323093078244,8.43947764697123,-4.37572315813505,-6.49577664460063,4,2.5,1,0.25,0.3238,1,1,8,2,1
"SNAIL_miR200_2_1",0.675978004618143,0.2,0.25,0.3,0.2,0.3775,0.52,0.509323093078244,8.43947764697123,-4.37572315813505,NA,4,2.5,1,0.25,0.331066666666667,1,1,10,2.66666666666667,3
"SNAIL_ZEB_1_0",0.00429733787091587,0.111111111111111,0.222222222222222,0.333333333333333,0.15,0.3575,0.61,0.509323093078244,8.43947764697123,-4.37572315813505,-7.000001896566,4,2.5,1,0.25,0.2691,1,1,8,2,1
"SNAIL_ZEB_1_2",0.0117600339147383,0.2,0.25,0.3,0.18,0.375,0.51,0.509323093078244,8.43947764697123,-4.37572315813505,NA,4,2.5,1,0.25,0.3286,1,1,10,2.66666666666667,3
"wild",0,0.1,0.25,0.4,0.16,0.385,0.6,0.509323093078244,8.43947764697123,-4.37572315813505,-7.0000090977447,4,2.5,1,0.25,0.317466666666667,3,1.66666666666667,8,2,1
"ZEB_miR145_2_0",0.0127777264969712,0.111111111111111,0.222222222222222,0.333333333333333,0.26,0.38625,0.5,0.505836241179902,7.03582431070063,-3.58714018588792,-7.00002290782442,3,2,0,0,0.445833333333333,3,1.66666666666667,4,1,1
"ZEB_miR145_2_1",0.0361699440349188,0.1,0.25,0.4,0.31,0.3925,0.52,0.125830527502271,3.40873718059921,-1.77566460618545,NA,4,2.25,1,0.5,0.5356,7,2.66666666666667,4,1,1
"ZEB_miR200_2_0",0.0704272099329019,0.111111111111111,0.244444444444444,0.444444444444444,0.05,0.304,0.51,0.251435539494671,8.1766251793952,-4.53157418065511,-6.48456461937041,3,2,1,0.25,0.272833333333333,2,1.33333333333333,4,1,1
"ZEB_miR200_2_1",0.515655062718284,0.2,0.233333333333333,0.3,0.31,0.493333333333333,0.72,0.1161475299582,4.02157131616062,-2.30666156125097,NA,3,2,2,0.75,0.1862,6,2.33333333333333,5,1.33333333333333,2
"ZEB_ZEB_1_0",0.267234529067706,0.111111111111111,0.166666666666667,0.222222222222222,0.48,0.5875,0.7,0.207445987654321,3.6179012345679,-1.90555555555556,-7,3,1.5,1,0.25,0.474133333333333,2,0.666666666666667,8,2,1
"ZEB_ZEB_1_2",0.267932936690969,0.2,0.25,0.3,0.5,0.6075,0.74,0.0426335821671298,0.936354965099763,-0.426041503444491,NA,3,1.5,2,1.25,0.479,2,0.666666666666667,9,3,2
