"Network","JSD","MinFrust","MeanFrust","MaxFrust","MinCoh","MeanCoh","MaxCoh","Gs","InflVal","InflVal2","Jmetric","posLoops","posWeighted","negWeighted","negLoops","Hybridness","posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency"
"Ecad-NRF2_2-0",0.165552420110717,0.142857142857143,0.257142857142857,0.333333333333333,"0.511","0.6572","0.847",0.31534217035087,26.2302810189552,-11.6413150156006,-11.2458988511942,10,4.53333333333333,4,2.5,0.249263333333333,6,2.58333333333333,6,3.33333333333333,3
"Ecad-NRF2_2-1",0.285541701742081,0.136363636363636,0.287878787878788,0.363636363636364,"0.413","0.5695","0.843",0.332906166405902,27.9168808168729,-12.2399525562066,-10.461424869601,12,4.98333333333333,4,2.5,0.22962,8,3.08333333333333,6,3.33333333333333,3
"Ecad-ZEB_2-0",0.00212722389402609,0.19047619047619,0.26984126984127,0.333333333333333,"0.531","0.595666666666667","0.658",0.135378275423065,19.7871939234234,-9.86651019750281,-11.739371012134,9,4.03333333333333,6,2.95,0.25027,6,2.58333333333333,7,3.58333333333333,4
"Ecad-ZEB_2-1",0.00201587935873946,0.227272727272727,0.303030303030303,0.363636363636364,"0.528","0.587583333333333","0.626",0.10801180611803,15.385635254423,-7.84892651213019,-11.7249132973062,9,4.03333333333333,7,3.45,0.254086666666667,7,2.83333333333333,7,3.58333333333333,4
"GRHL2-ZEB_2-0",0.000645936839726779,0.19047619047619,0.26984126984127,0.333333333333333,"0.514","0.593","0.664",0.11036152401438,17.0238955047391,-8.32256795494048,-11.7603774337666,9,4.03333333333333,6,2.95,0.257523333333333,6,2.58333333333333,8,3.83333333333333,4
"GRHL2-ZEB_2-1",0.000357078754370304,0.227272727272727,0.303030303030303,0.363636363636364,"0.518","0.5875","0.651",0.0985144318550111,14.8106126138436,-7.62181027867175,-11.7684503980294,9,4.03333333333333,7,3.45,0.263953333333333,6,2.58333333333333,8,3.83333333333333,4
"Iext-SNAIL_2-1",0.447737069791173,0.181818181818182,0.257575757575758,0.318181818181818,"0.566","0.629583333333333","0.689",0.170924040642642,22.7923421132029,-10.6493203852717,-12.266033898545,10,4.53333333333333,6,2.95,0.281796666666667,6,2.58333333333333,8,3.83333333333333,4
"KEAP1-NRF2_2-0",0.174304032457392,0.19047619047619,0.285714285714286,0.333333333333333,"0.573","0.68575","0.809",0.195444525503431,22.7551159641007,-10.7144840078364,-12.1149671885149,8,4.08333333333333,5,2.78333333333333,0.2978,5,2.33333333333333,8,3.83333333333333,4
"KEAP1-NRF2_2-1",0.206702951660334,0.181818181818182,0.318181818181818,0.363636363636364,"0.412","0.5834","0.793",0.200824874815772,23.5377726998624,-10.7661243175668,-11.790671254428,9,4.25,7,3.23333333333333,0.283003333333333,5,2.33333333333333,9,4.08333333333333,4
"miR200-KEAP1_2-0",0.236865545072302,0.19047619047619,0.298701298701299,0.380952380952381,"0.396","0.531363636363636","0.699",0.243305003721942,20.9872662046157,-9.45251368754289,-11.784974760533,8,4.08333333333333,5,2.78333333333333,0.210546666666667,5,2.33333333333333,8,3.83333333333333,4
"miR200-KEAP1_2-1",1,0.181818181818182,0.318181818181818,0.363636363636364,"0.421","0.5843","0.802",0.149723491995652,23.5377726998624,-10.7737376815742,-13.248492803512,9,4.25,7,3.23333333333333,0.05376,5,2.33333333333333,9,4.08333333333333,4
"miR200-ZEB_2-0",0.000208283538436143,0.19047619047619,0.246031746031746,0.285714285714286,"0.574","0.6445","0.706",0.231214040969129,20.7855805583644,-9.84050805938983,-11.766738400804,8,3.78333333333333,4,2.41666666666667,0.272453333333333,5,2.25,6,3.16666666666667,4
"miR200-ZEB_2-1",0.000294175310760751,0.227272727272727,0.257575757575758,0.272727272727273,"0.539","0.636333333333333","0.715",0.109913782765672,13.875650332496,-7.07825644310591,-11.788198283557,10,4.31666666666667,6,3.16666666666667,0.28146,7,2.91666666666667,7,3.5,4
"miR34-SNAIL_2-0",0.242689562997642,0.19047619047619,0.253968253968254,0.285714285714286,"0.611","0.644333333333333","0.7",0.195261399919394,20.2892815683345,-9.52389110400557,-11.0228138934468,7,3.45,6,2.95,0.121553333333333,5,2.25,8,3.83333333333333,4
"miR34-SNAIL_2-1",0.412254902933349,0.227272727272727,0.284090909090909,0.318181818181818,"0.606","0.678625","0.79",0.0614955475189801,18.3648503715052,-8.87465541473544,-10.6494599623999,7,3.45,9,4.03333333333333,0.103836666666667,5,2.25,9,4.16666666666667,4
"NRF2-SNAIL_2-0",0.219689840485509,0.19047619047619,0.222222222222222,0.285714285714286,"0.589","0.6465","0.689",0.250767260818004,21.6002559524154,-9.9976238234138,-12.6794847603938,8,4.08333333333333,3,2.33333333333333,0.177393333333333,5,2.33333333333333,10,4.13333333333333,5
"NRF2-SNAIL_2-1",0.386474063147436,0.181818181818182,0.238636363636364,0.318181818181818,"0.563","0.67325","0.795",0.257047179594684,25.0330923647499,-11.7654796477782,-13.7663902889745,11,4.7,5,2.78333333333333,0.178936666666667,7,2.83333333333333,7,3.58333333333333,4
"OVOL2-miR200_2-0",0.203903756371014,0.142857142857143,0.276190476190476,0.333333333333333,"0.41","0.5145","0.658",0.325396222486431,29.1829426230654,-13.5882396283647,-11.4222137247649,10,4.53333333333333,4,2.45,0.1643,6,2.58333333333333,4,2.5,3
"OVOL2-miR200_2-1",0.471949781461597,0.136363636363636,0.246753246753247,0.318181818181818,"0.446","0.569285714285714","0.666",0.328113022298316,28.9488272788642,-13.3569432693253,-11.3330583360685,12,5.03333333333333,4,2.45,0.0632133333333333,10,3.91666666666667,4,2.5,3
"OVOL2-OVOL2_2-0",9.43849775013084e-06,0.142857142857143,0.222222222222222,0.285714285714286,"0.563","0.630333333333333","0.687",0.295775409086199,27.8478384874463,-12.5781274243634,-11.7540488298386,10,4.53333333333333,5,1.95,0.28069,6,2.58333333333333,7,2.83333333333333,3
"OVOL2-OVOL2_2-1",0.278262537194611,0.136363636363636,0.255244755244755,0.363636363636364,"0.354","0.489115384615385","0.587",0.150230387129788,27.9675940054638,-12.5225279178747,-12.6199467589448,11,5.53333333333333,5,1.95,0.274286666666667,7,3.58333333333333,7,2.83333333333333,3
"OVOL2-ZEB_2-0",0.00207030458731214,0.19047619047619,0.26984126984127,0.333333333333333,"0.516","0.591583333333333","0.662",0.198424484812789,23.4799728804839,-11.342158088795,-11.7507192933636,9,4.03333333333333,6,2.95,0.243906666666667,6,2.58333333333333,6,3.16666666666667,4
"OVOL2-ZEB_2-1",0.00163663020450247,0.227272727272727,0.303030303030303,0.363636363636364,"0.504","0.583916666666667","0.647",0.145240408402351,17.2714402410758,-8.44577983633744,-11.7622509545151,9,4.03333333333333,7,3.45,0.24957,8,3.25,6,3.16666666666667,4
"SNAIL-miR200_2-0",0.260478445079279,0.19047619047619,0.285714285714286,0.333333333333333,"0.414","0.502227272727273","0.639",0.233724789425176,22.3815898920682,-10.4784026415644,-11.4687596277539,8,4.03333333333333,5,2.75,0.162003333333333,5,2.06666666666667,8,3.83333333333333,4
"SNAIL-miR200_2-1",1,0.227272727272727,0.290909090909091,0.318181818181818,"0.464","0.6006","0.774",0.173839151652484,17.8961281424579,-8.25840440890335,-11.6966794992823,9,4.23333333333333,7,3.25,0.0696966666666667,3,1.66666666666667,11,4.75,5
