"Network","JSD","MinFrust","MeanFrust","MaxFrust","MinCoh","MeanCoh","MaxCoh","Gs","InflVal","InflVal2","Jmetric","posLoops","posWeighted","negWeighted","negLoops","Hybridness","posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency"
"Ecadherin_NRF2_2_0",0.299554804414277,0.0666666666666667,0.277777777777778,0.4,0.25,0.479166666666667,0.82,0.426472203330796,21.3361057418014,-10.369550669433,-11.0731797711791,8,3.53333333333333,1,1,0.209466666666667,6,2.58333333333333,1,1,1
"Ecadherin_NRF2_2_1",0.331696474521615,0.0625,0.3125,0.4375,0.14,0.390714285714286,0.83,0.427451833375127,21.3693660626292,-10.3778586174954,NA,10,3.98333333333333,1,1,0.198366666666667,8,3.08333333333333,1,1,1
"Ecadherin_ZEB_2_0",0.0900045450945278,0.133333333333333,0.295238095238095,0.4,0.23,0.404285714285714,0.62,0.148850051996204,12.7581146918493,-6.60813791830962,-10.7153775572289,7,3.03333333333333,3,1.45,0.175266666666667,6,2.58333333333333,2,1.25,2
"Ecadherin_ZEB_2_1",0.0933201854733821,0.1875,0.339285714285714,0.4375,0.22,0.390714285714286,0.64,0.118151568559088,9.25002672204293,-4.82271802557691,NA,7,3.03333333333333,4,1.95,0.1715,7,2.83333333333333,2,1.25,2
"Iext_SNAIL_1_0",0.231749879399729,0.133333333333333,0.266666666666667,0.333333333333333,0.28,0.438333333333333,0.68,0.281609964553777,15.3430207180727,-7.81004413072415,-10.0000221006068,8,3.53333333333333,3,1.45,0.212,6,2.58333333333333,3,1.5,2
"Iext_SNAIL_1_2",0.476981247222883,0.125,0.3,0.375,0.21,0.3625,0.59,0.281609964553777,15.3430207180727,-7.81004413072415,NA,8,3.53333333333333,3,1.45,0.267133333333333,6,2.58333333333333,3,1.5,2
"KEAP1_NRF2_2_0",0.227844699086833,0.133333333333333,0.314285714285714,0.4,0.28,0.427142857142857,0.76,0.23809679153844,13.3775969076075,-6.69850569536055,-10.353621603968,6,3.08333333333333,3,1.45,0.293633333333333,5,2.33333333333333,3,1.5,2
"KEAP1_NRF2_2_1",0.249408899033588,0.125,0.3359375,0.4375,0.14,0.364375,0.79,0.156260356178538,15.8053120627715,-8.18426483291393,NA,6,3.08333333333333,5,1.9,0.282466666666667,5,2.33333333333333,4,1.75,2
"miR200_KEAP1_2_0",0.309411773541267,0.133333333333333,0.337037037037037,0.466666666666667,0.06,0.260833333333333,0.64,0.23809679153844,13.3775969076075,-6.69850569536055,-10.0890089925591,6,3.08333333333333,3,1.45,0.271366666666667,5,2.33333333333333,3,1.5,2
"miR200_KEAP1_2_1",1,0.125,0.3359375,0.4375,0.16,0.35625,0.76,0.107257595306702,15.8053120627715,-7.9597869737507,NA,6,3.08333333333333,5,1.9,0.282566666666667,5,2.33333333333333,4,1.75,2
