"Net","JSD"
"Ecad-NRF2_2-0",0.229805759275833
"Ecad-NRF2_2-1",0.32941922703893
"Ecad-ZEB_2-0",0.000505707845624029
"Ecad-ZEB_2-1",0.0870500371108394
"GRHL2-ZEB_2-0",0.000676081973276866
"GRHL2-ZEB_2-1",0.0844551133803283
"Iext-SNAIL_1-2",0.49094406942883
"KEAP1-NRF2_2-0",0.199997470263182
"KEAP1-NRF2_2-1",0.250410912751203
"miR145-OCT4_2-0",0.154937572801636
"miR145-OCT4_2-1",1
"miR145-ZEB_2-0",0.00464046879283096
"miR145-ZEB_2-1",0.0178574100789767
"miR200-KEAP1_2-0",0.295882616752905
"miR200-KEAP1_2-1",1
"miR200-ZEB_2-0",0.00272768979188622
"miR200-ZEB_2-1",0.00557213616797287
"miR34-SNAIL_2-0",0.246201952679372
"miR34-SNAIL_2-1",0.474486277814235
"NRF2-SNAIL_2-0",0.214182713182169
"NRF2-SNAIL_2-1",0.393741726339898
"OCT4-miR145_2-0",0.177093270604669
"OCT4-miR145_2-1",0.180709956250062
"OCT4-miR200_2-0",0.162889517568767
"OCT4-miR200_2-1",0.304153907369132
"OVOL2-miR200_2-0",0.102808548873266
"OVOL2-miR200_2-1",0.168088771143307
"OVOL2-OVOL2_2-0",4.54844129119597e-05
"OVOL2-OVOL2_2-1",0.251346384158061
"OVOL2-ZEB_2-0",0.000249408020992283
"OVOL2-ZEB_2-1",0.0875342907782188
"SNAIL-miR34_2-0",0.151135191379602
"SNAIL-miR34_2-1",0.199885092377703
"SNAIL-SNAIL_2-0",3.58067475439417e-05
"SNAIL-SNAIL_2-1",0.147397230883907
"SNAIL-ZEB_1-0",0.00277365642703318
"SNAIL-ZEB_1-2",0.00545244816513772
"SNAIL_miR200_2-0",0.145664559782006
"SNAIL_miR200_2-1",0.25728376383362
"wild",0
"ZEB-Ecad_2-0",0.230816124195116
"ZEB-Ecad_2-1",1
"ZEB-GRHL2_2-0",0.211882975019165
"ZEB-GRHL2_2-1",1
"ZEB-miR145_2-0",0.0111111414950877
"ZEB-miR145_2-1",0.0361092040192483
"ZEB-miR200_2-0",0.206991279578632
"ZEB-miR200_2-1",0.301713589374758
"ZEB-miR34_2-0",0.138644714646893
"ZEB-miR34_2-1",0.226362621588431
"ZEB-OVOL2_2-0",NA
"ZEB-OVOL2_2-1",1
"ZEB-ZEB_1-0",5.95557261899027e-05
"ZEB-ZEB_1-2",0.0852570576944108
