"EdgeList","Nature","Cycles","Edge_count"
"SNAIL,ZEB;SNAIL,miR200;miR200,ZEB","P","ZEB,SNAIL,miR200",3
"SNAIL,ZEB;SNAIL,miR200;ZEB,miR200","P","ZEB,SNAIL,miR200",3
"ZEB,OVOL2;OVOL2,miR200;miR200,ZEB","N","ZEB,OVOL2,miR200",3
"OVOL2,ZEB;OVOL2,miR200;miR200,ZEB","N","ZEB,OVOL2,miR200",3
"ZEB,OVOL2;OVOL2,miR200;ZEB,miR200","N","ZEB,OVOL2,miR200",3
"OVOL2,ZEB;OVOL2,miR200;ZEB,miR200","N","ZEB,OVOL2,miR200",3
"miR145,ZEB;ZEB,miR200;OCT4,miR200;OCT4,miR145","N","miR145,ZEB,miR200,OCT4",4
"ZEB,miR145;ZEB,miR200;OCT4,miR200;OCT4,miR145","N","miR145,ZEB,miR200,OCT4",4
"miR145,ZEB;miR200,ZEB;OCT4,miR200;OCT4,miR145","N","miR145,ZEB,miR200,OCT4",4
"ZEB,miR145;miR200,ZEB;OCT4,miR200;OCT4,miR145","N","miR145,ZEB,miR200,OCT4",4
"miR145,ZEB;ZEB,miR200;OCT4,miR200;miR145,OCT4","N","miR145,ZEB,miR200,OCT4",4
"ZEB,miR145;ZEB,miR200;OCT4,miR200;miR145,OCT4","N","miR145,ZEB,miR200,OCT4",4
"miR145,ZEB;miR200,ZEB;OCT4,miR200;miR145,OCT4","N","miR145,ZEB,miR200,OCT4",4
"ZEB,miR145;miR200,ZEB;OCT4,miR200;miR145,OCT4","N","miR145,ZEB,miR200,OCT4",4
"ZEB,ZEB","P","ZEB",1
