Cycles,Edge_count
SNAIL,1
"ZEB,miR34,SNAIL",3
"miR200,ZEB,SNAIL",3
ZEB,1
"miR200,OCT4,miR145,ZEB",4
"NRF2,Ecad,ZEB,SNAIL",4
"miR200,OVOL2,ZEB",3
OVOL2,1
"NRF2,KEAP1,miR200,SNAIL",4
