Cycles,Edge_count
"SNAI1,GSC,TWIST1",3
"FOXC2,GSC,TWIST1",3
"ZEB1,GSC,TWIST1",3
"ZEB2,GSC,TWIST1",3
"SNAI1,TGF-beta,GSC",3
"SNAI2,TGF-beta,GSC,TWIST1",4
"ZEB1,OVOL2,TGF-beta,GSC",4
"CDH1,OVOL2,TGF-beta,GSC,TWIST1",5
OVOL2,1
"VIM,OVOL2,TGF-beta,GSC,TWIST1",5
"SNAI2,OVOL2,TGF-beta",3
"ZEB1,GRHL2,OVOL2",3
"NP63,GRHL2,OVOL2",3
"SNAI2,NP63,OVOL2",3
"ZEB1,miR-205,NP63,OVOL2",4
"ZEB2,miR-205,NP63,OVOL2,TGF-beta,GSC",6
"ZEB1,miR-200c,TGF-beta,GSC",4
"ZEB2,miR-200c,TGF-beta,GSC",4
"ZEB1,miR-200b,TGF-beta,GSC",4
"ZEB2,miR-200b,TGF-beta,GSC",4
"SNAI2,miR-200b,TGF-beta",3
"ZEB1,miR-200a,TGF-beta,GSC",4
"ZEB2,miR-200a,TGF-beta,GSC",4
"ZEB1,miR-141,TGF-beta,GSC",4
"ZEB2,miR-141,TGF-beta,GSC",4
"CDH1,ZEB2,TWIST1",3
"VIM,ZEB2,TWIST1",3
ZEB2,1
"SNAI1,ZEB2,TWIST1",3
"TWIST2,ZEB2,TWIST1",3
"CDH1,miR-9,ZEB2",3
"SNAI1,miR-30c,ZEB2",3
"SNAI2,miR-30c,ZEB2,TWIST1",4
"ZEB1,miR-101,ZEB2,TWIST1",4
"SNAI1,miR-101,ZEB2",3
"SNAI2,miR-101,ZEB2,TWIST1",4
"CDH1,KLF8,miR-101,ZEB2",4
"FOXC2,ZEB1,TWIST1",3
"CDH1,ZEB1,TWIST1",3
"VIM,ZEB1,TWIST1",3
ZEB1,1
"SNAI1,ZEB1,TWIST1",3
"TWIST2,ZEB1,TWIST1",3
"CDH1,CLDN7,ZEB1",3
"SNAI1,miR-34a,ZEB1",3
"SNAI2,miR-34a,ZEB1,TWIST1",4
"TWIST2,miR-34a,ZEB1",3
"CDH1,TCF3,TWIST1",3
"CDH1,SNAI2,TWIST1",3
"SNAI1,SNAI2,TWIST1",3
"VIM,SNAI2,TWIST1",3
"TWIST2,SNAI2,TWIST1",3
"SNAI1,FOXC2,TWIST1",3
"SNAI1,VIM,TWIST1",3
"SNAI1,CDH1,TWIST1",3
"TWIST2,CDH1,TWIST1",3
"SNAI1,TWIST2,TWIST1",3
SNAI1,1
