"","Ecadherin","miR34","miR200","SNAIL","ZEB"
"miR200",0.766575871728002,0.685400534197419,0.685400534197419,-0.290968094554895,-0.820150304024049
"Ecadherin",0.766575871728002,0.685400534197419,0.685400534197419,-0.290968094554895,-0.820150304024049
"miR34",0.32230560040108,0.299852371064729,0.299852371064729,-0.139288408237518,-0.343067051918034
"SNAIL",-0.343067051918034,-0.315832186035292,-0.315832186035292,0.0491576115668877,0.36102714060983
"ZEB",-0.820150304024049,-0.728767577623951,-0.728767577623951,0.312582896909815,0.767764375776051
