"","Ecadherin","miR34","miR200","SNAIL","NRF2","KEAP1","ZEB"
"miR200",0.437999804094427,0.287759200342968,0.287759200342968,-0.069123829051064,0.00150051543830887,-0.372822491482208,-0.458634724729347
"NRF2",0.213565830982346,0.20832567576627,0.20832567576627,-0.0929080524674205,-0.0162020202020202,-0.206299893077504,-0.220063453803265
"miR34",0.213565830982346,0.20832567576627,0.20832567576627,-0.0929080524674205,-0.0162020202020202,-0.206299893077504,-0.220063453803265
"Ecadherin",0.199865673542144,0.0546964086897856,0.0546964086897856,0.0574918170765922,-0.13994576464096,-0.0484817194242489,-0.210640084316555
"KEAP1",-0.210667280257708,-0.206299893077504,-0.206299893077504,0.08961857878321,-0.0890611376927166,0.198416075650118,0.213565830982346
"SNAIL",-0.220063453803265,-0.213249001028578,-0.213249001028578,-0.00861479017217343,0.0140743606275521,0.20832567576627,0.222796460110203
"ZEB",-0.473487981553804,-0.276566819040777,-0.276566819040777,0.0771735322192277,0.08961857878321,0.275135976433463,0.371887981553804
