"","NRF2","miR34","miR200","SNAIL","ZEB","Ecadherin","KEAP1"
"miR200",0.477299634939229,0.365057290129513,0.365057290129513,-0.182059283783157,-0.356478311480092,-0.351571540135636,-0.457154064323061
"Ecadherin",0.147362936246939,0.166957474205887,0.166957474205887,-0.0212472977222758,-0.241396271924222,-0.239320282891712,-0.16277202668496
"NRF2",0.197893249559333,0.211675241839797,0.211675241839797,-0.119811787356305,-0.200983735787382,-0.197790769568039,-0.205130340774348
"miR34",0.197893249559333,0.211675241839797,0.211675241839797,-0.119811787356305,-0.200983735787382,-0.197790769568039,-0.205130340774348
"KEAP1",-0.288529953679183,-0.205130340774348,-0.205130340774348,0.123758051000302,0.197790769568039,0.194839175707354,0.20415946698794
"SNAIL",-0.200095892731139,-0.212331566422136,-0.212331566422136,0.0258335050265915,0.202489268165398,0.200983735787382,0.211675241839797
"ZEB",-0.372707488624385,-0.359768338021342,-0.359768338021342,0.211477641034936,0.247204343900886,0.344148979784185,0.355837876948023
