"","Ecadherin","miR34","miR200","NRF2","SNAIL","KEAP1","ZEB"
"miR200",0.788636159408995,0.72554747903981,0.72554747903981,-0.153309130238064,-0.453998165663,-0.766676511297875,-0.850559613776021
"NRF2",0.751008200398704,0.807779686344753,0.807779686344753,-0.138009521333071,-0.778975077078156,-0.737612258643078,-0.824724072680055
"miR34",0.751008200398704,0.807779686344753,0.807779686344753,-0.138009521333071,-0.778975077078156,-0.737612258643078,-0.824724072680055
"Ecadherin",0.373299081870511,0.217892340730941,0.217892340730941,-0.264906077994175,0.078200986692417,-0.206495045173955,-0.385402489626092
"KEAP1",-0.671787421177924,-0.737612258643078,-0.737612258643078,0.0159121430559171,0.729352910831304,0.662078278060554,0.751008200398704
"ZEB",-0.826968305587735,-0.748909648893953,-0.748909648893953,0.272000661302766,0.438894493924579,0.698418341259788,0.780195964673423
"SNAIL",-0.824724072680055,-0.872934817609669,-0.872934817609669,0.158714367148049,0.724878334728699,0.807779686344753,0.893234865351921
