"","Ecadherin","miR34","miR200","SNAIL","ZEB","NRF2"
"miR200",0.683199059947787,0.569200144920279,0.569200144920279,-0.146859181500076,-0.715931018710673,-0.645134543818754
"Ecadherin",0.441083849975754,0.289010017240354,0.289010017240354,0.00563608132101865,-0.457179740386713,-0.522970237971467
"NRF2",0.306775818825933,0.274566862902281,0.274566862902281,-0.0982901749808651,-0.321439769946096,-0.289939084132055
"miR34",0.306775818825933,0.274566862902281,0.274566862902281,-0.0982901749808651,-0.321439769946096,-0.289939084132055
"SNAIL",-0.321439769946096,-0.284715712699304,-0.284715712699304,0.00138876653016084,0.333390989458291,0.306775818825933
"ZEB",-0.715931018710673,-0.592145350399731,-0.592145350399731,0.153376493109037,0.642801679548935,0.683199059947787
