,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,EMT_RACIPE2_1,113,53796,34711,13905,494,160
1,EMT_RACIPE2_10,98,36918,20231,4919,578,31
2,EMT_RACIPE2_100,102,41340,20339,9041,562,36
3,EMT_RACIPE2_101,113,46990,33732,14376,262,62
4,EMT_RACIPE2_102,100,41276,21500,8189,192,36
5,EMT_RACIPE2_103,107,48134,29594,8641,305,162
6,EMT_RACIPE2_104,112,54229,31232,11542,347,121
7,EMT_RACIPE2_105,98,39877,20145,7585,375,30
8,EMT_RACIPE2_106,100,40202,22661,8310,453,85
9,EMT_RACIPE2_107,111,51638,31656,13410,388,45
10,EMT_RACIPE2_108,100,40077,22257,8439,623,43
11,EMT_RACIPE2_109,112,39736,29972,12810,601,52
12,EMT_RACIPE2_11,121,50289,38662,14781,950,178
13,EMT_RACIPE2_110,109,48533,28676,10853,395,65
14,EMT_RACIPE2_111,101,37928,24701,9522,327,39
15,EMT_RACIPE2_112,102,39930,24353,7045,540,138
16,EMT_RACIPE2_113,108,50387,28163,8268,679,61
17,EMT_RACIPE2_114,109,49345,32048,9963,441,180
18,EMT_RACIPE2_115,114,56747,35805,15851,727,132
19,EMT_RACIPE2_116,99,39694,23727,7760,452,38
20,EMT_RACIPE2_117,96,34468,19645,7434,151,17
21,EMT_RACIPE2_118,101,42178,22578,9541,400,11
22,EMT_RACIPE2_119,101,34218,22596,9318,165,22
23,EMT_RACIPE2_12,102,41438,25114,8242,311,81
24,EMT_RACIPE2_120,111,50388,34898,13638,560,40
25,EMT_RACIPE2_121,114,50843,32282,11341,492,44
26,EMT_RACIPE2_122,89,30692,16006,6887,237,119
27,EMT_RACIPE2_123,105,43638,27948,10341,147,90
28,EMT_RACIPE2_124,100,37627,25388,9442,380,59
29,EMT_RACIPE2_125,109,44092,32643,14226,324,67
30,EMT_RACIPE2_126,101,37897,22445,6784,577,89
31,EMT_RACIPE2_127,105,43405,28237,12410,348,69
32,EMT_RACIPE2_128,106,47989,27923,9799,463,43
33,EMT_RACIPE2_129,100,41168,22513,7496,256,88
34,EMT_RACIPE2_13,101,41084,23446,7503,102,102
35,EMT_RACIPE2_130,115,56835,34896,11569,631,174
36,EMT_RACIPE2_131,113,45917,34527,15848,319,72
37,EMT_RACIPE2_132,106,45859,28264,12064,190,26
38,EMT_RACIPE2_133,106,43206,25711,8037,320,0
39,EMT_RACIPE2_134,99,37437,20960,6930,138,55
40,EMT_RACIPE2_135,117,52128,34319,16428,729,46
41,EMT_RACIPE2_136,103,41061,26167,8904,432,45
42,EMT_RACIPE2_137,106,36326,25102,7960,358,126
43,EMT_RACIPE2_138,111,51303,31904,12095,517,101
44,EMT_RACIPE2_139,100,40086,23956,10658,695,0
45,EMT_RACIPE2_14,118,62373,38509,12969,895,185
46,EMT_RACIPE2_140,105,41538,29618,8244,641,28
47,EMT_RACIPE2_141,95,33767,18043,7127,476,0
48,EMT_RACIPE2_142,115,45464,30638,15063,615,125
49,EMT_RACIPE2_143,109,45746,33175,11477,437,96
50,EMT_RACIPE2_144,104,40661,24272,9247,570,84
51,EMT_RACIPE2_145,109,50929,31793,15100,430,72
52,EMT_RACIPE2_146,104,43821,23215,6719,482,11
53,EMT_RACIPE2_147,109,44417,28092,7617,544,0
54,EMT_RACIPE2_148,108,49391,26027,10981,332,41
55,EMT_RACIPE2_149,107,47982,29459,10109,741,43
56,EMT_RACIPE2_15,112,43741,29816,7629,403,58
57,EMT_RACIPE2_150,111,53905,36515,13451,555,159
58,EMT_RACIPE2_151,113,51529,31552,15108,379,139
59,EMT_RACIPE2_152,114,52208,38887,15074,342,164
60,EMT_RACIPE2_153,103,46211,20236,8182,446,0
61,EMT_RACIPE2_154,105,46489,22338,8177,634,78
62,EMT_RACIPE2_155,104,39951,27420,7891,228,40
63,EMT_RACIPE2_156,108,42057,28219,11086,377,51
64,EMT_RACIPE2_157,95,33911,21745,6147,350,85
65,EMT_RACIPE2_158,103,39770,25522,9716,566,0
66,EMT_RACIPE2_159,117,52634,36130,13131,1108,84
67,EMT_RACIPE2_16,108,44113,31911,12719,486,86
68,EMT_RACIPE2_160,95,30792,20723,6817,475,59
69,EMT_RACIPE2_161,101,41675,23467,9395,143,89
70,EMT_RACIPE2_162,109,50052,32210,10298,466,86
71,EMT_RACIPE2_163,110,48647,29935,11135,375,74
72,EMT_RACIPE2_164,110,55994,28954,11704,650,89
73,EMT_RACIPE2_165,108,41464,30607,11505,408,105
74,EMT_RACIPE2_166,104,44448,23938,7094,1059,18
75,EMT_RACIPE2_167,96,32248,17495,4752,501,78
76,EMT_RACIPE2_168,100,37983,21651,7561,229,82
77,EMT_RACIPE2_169,113,43222,32350,15398,333,68
78,EMT_RACIPE2_17,117,55240,38699,17676,625,54
79,EMT_RACIPE2_170,102,45264,24849,10045,240,106
80,EMT_RACIPE2_171,104,46340,25469,9234,237,182
81,EMT_RACIPE2_172,104,41157,25564,8203,680,69
82,EMT_RACIPE2_173,110,50055,28738,9306,385,47
83,EMT_RACIPE2_174,115,56305,32601,11682,161,73
84,EMT_RACIPE2_175,115,47408,32822,12860,430,164
85,EMT_RACIPE2_176,99,39838,23347,8962,398,98
86,EMT_RACIPE2_177,113,55456,38378,14723,599,116
87,EMT_RACIPE2_178,101,37729,19190,4796,298,0
88,EMT_RACIPE2_179,106,49281,25809,7792,363,87
89,EMT_RACIPE2_18,106,41668,29553,9920,391,84
90,EMT_RACIPE2_180,100,43610,21769,6147,732,0
91,EMT_RACIPE2_181,108,43702,25503,9580,124,124
92,EMT_RACIPE2_182,97,33661,20540,5825,394,27
93,EMT_RACIPE2_183,102,39258,26653,9779,424,131
94,EMT_RACIPE2_184,111,46111,29439,11712,625,67
95,EMT_RACIPE2_185,103,40775,27181,12341,219,126
96,EMT_RACIPE2_186,100,35009,23152,7179,520,13
97,EMT_RACIPE2_187,123,55537,37083,12215,781,0
98,EMT_RACIPE2_188,106,45147,31936,14905,381,112
99,EMT_RACIPE2_189,106,47790,28649,11231,340,94
100,EMT_RACIPE2_19,100,37255,22081,9448,756,15
101,EMT_RACIPE2_190,105,41834,26452,10174,501,87
102,EMT_RACIPE2_191,99,42788,21679,7217,189,105
103,EMT_RACIPE2_192,108,48697,26934,10248,390,64
104,EMT_RACIPE2_193,106,43377,23854,7294,499,80
105,EMT_RACIPE2_194,110,47071,32521,12098,434,59
106,EMT_RACIPE2_195,124,61732,39691,14187,483,152
107,EMT_RACIPE2_196,102,38691,23622,7592,601,25
108,EMT_RACIPE2_197,112,48849,31294,13679,187,99
109,EMT_RACIPE2_198,106,46428,27723,10588,542,104
110,EMT_RACIPE2_199,93,27527,20484,8555,237,52
111,EMT_RACIPE2_2,105,44533,25707,8328,364,112
112,EMT_RACIPE2_20,110,47646,32435,9577,936,66
113,EMT_RACIPE2_200,91,31750,17234,5682,372,19
114,EMT_RACIPE2_201,107,43212,32893,13386,505,108
115,EMT_RACIPE2_202,106,46145,27394,12003,549,60
116,EMT_RACIPE2_203,110,44444,35093,13891,604,84
117,EMT_RACIPE2_204,107,41940,26014,11384,801,14
118,EMT_RACIPE2_205,107,42111,27436,8506,835,29
119,EMT_RACIPE2_206,89,27829,15117,5423,335,0
120,EMT_RACIPE2_207,103,46275,26542,9305,1097,57
