"posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency","Net"
3,1.66666666666667,0,0,0,"GRHL2_ZEB_2_0"
3,1.66666666666667,0,0,0,"GRHL2_ZEB_2_1"
2,1.33333333333333,0,0,0,"miR200_ZEB_2_0"
2,1.33333333333333,1,0.333333333333333,1,"miR200_ZEB_2_1"
1,1,0,0,0,"SNAIL_miR200_2_0"
1,1,2,0.666666666666667,1,"SNAIL_miR200_2_1"
1,1,0,0,0,"SNAIL_ZEB_1_0"
1,1,2,0.666666666666667,1,"SNAIL_ZEB_1_2"
3,1.66666666666667,0,0,0,"wild"
3,1.66666666666667,0,0,0,"ZEB_GRHL2_2_0"
3,1.66666666666667,0,0,0,"ZEB_GRHL2_2_1"
2,1.33333333333333,0,0,0,"ZEB_miR200_2_0"
2,1.33333333333333,1,0.333333333333333,1,"ZEB_miR200_2_1"
2,0.666666666666667,0,0,0,"ZEB_ZEB_1_0"
2,0.666666666666667,1,1,1,"ZEB_ZEB_1_2"
