"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.0764944095809422,-1,1
"SNAIL",-0.0764944095809422,1,0.0764944095809422,-0.0764944095809422
"ZEB",-1,0.0764944095809422,1,-1
"miR200",1,-0.0764944095809422,-1,1
