"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.503318050322903,-1,1
"SNAIL",-0.503318050322903,1,0.503318050322903,-0.503318050322903
"ZEB",-1,0.503318050322903,1,-1
"miR200",1,-0.503318050322903,-1,1
