"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.255937397628952,-1,0.623111353764897
"SNAIL",-0.255937397628952,1,0.255937397628952,-0.63277776970763
"ZEB",-1,0.255937397628952,1,-0.623111353764897
"miR200",0.623111353764897,-0.63277776970763,-0.623111353764897,1
