"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.119733983805069,-1,0.622486151764136
"SNAIL",-0.119733983805069,1,0.119733983805069,-0.497248465337129
"ZEB",-1,0.119733983805069,1,-0.622486151764136
"miR200",0.622486151764136,-0.497248465337129,-0.622486151764136,1
