"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,0.00214762394011974,-0.252547506805981,-0.00239337394740079
"SNAIL",0.00214762394011974,1,0.247784384858115,-0.502732026583958
"ZEB",-0.252547506805981,0.247784384858115,1,-0.745043332611289
"miR200",-0.00239337394740079,-0.502732026583958,-0.745043332611289,1
