"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.189455761771347,-1,0.189455761771347
"SNAIL",-0.189455761771347,1,0.189455761771347,-1
"ZEB",-1,0.189455761771347,1,-0.189455761771347
"miR200",0.189455761771347,-1,-0.189455761771347,1
