"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.0397126062036685,-1,0.622882121826849
"SNAIL",-0.0397126062036685,1,0.0397126062036685,-0.416827650792855
"ZEB",-1,0.0397126062036685,1,-0.622882121826849
"miR200",0.622882121826849,-0.416827650792855,-0.622882121826849,1
