"Net","JSD"
"GRHL2_ZEB_2_0",1
"miR200_ZEB_2_0",1
"SNAIL_miR200_2_0",1
"SNAIL_ZEB_1_0",1
"wild",1
"ZEB_GRHL2_2_0",1
"ZEB_miR200_2_0",1
"ZEB_ZEB_1_0",1
