"","GRHL2","SNAIL","ZEB","miR200"
"GRHL2",1,-0.540711959293577,-1,1
"SNAIL",-0.540711959293577,1,0.540711959293577,-0.540711959293577
"ZEB",-1,0.540711959293577,1,-1
"miR200",1,-0.540711959293577,-1,1
