states,Avg0,SD0,frust0
'111100110100',0.09266666666666667,0.003209707497922856,0.25925925925925924
'110010100111',0.20986666666666665,0.002904402788105599,0.14814814814814814
'000101001001',0.08583333333333332,0.002283759084394751,0.2962962962962963
'001101011000',0.20820000000000002,0.002782085548648714,0.14814814814814814
'111010110110',0.08273333333333334,0.003226280968683424,0.2962962962962963
'000011001011',0.0911,0.002246478726065896,0.25925925925925924
'110100110100',0.0447,0.0007348469228349547,0.2962962962962963
'111010100111',0.07033333333333332,0.002795631512834901,0.18518518518518517
'000101011000',0.07116666666666666,0.002191397321852483,0.18518518518518517
'001011001011',0.043399999999999994,0.0013490737563232032,0.2962962962962963
