states,flag,Avg0,SD0,frust0
'110000010110',0,0.0656,0.002662079387746857,0.3333333333333333
'111000010110',0,0.06306666666666666,0.0016779617264870927,0.2962962962962963
'000011001011',0,0.06183333333333333,0.0015326085243430206,0.25925925925925924
'111000110110',0,0.03556666666666667,0.0020270394394014354,0.25925925925925924
'111100110110',0,0.006266666666666667,0.0008576453553512406,0.25925925925925924
'001011101001',0,0.021333333333333333,0.0016779617264870955,0.3333333333333333
'110100110100',0,0.06223333333333333,0.0009428090415820609,0.2962962962962963
'000111101001',0,0.06193333333333334,0.0015107025591499553,0.2962962962962963
'000011101001',0,0.020633333333333333,0.0016779617264870955,0.2962962962962963
'001011001011',0,0.06426666666666667,0.0013719410418171166,0.2962962962962963
'111100110100',0,0.06306666666666667,0.0034740306401770367,0.25925925925925924
'111100010100',0,0.03403333333333333,0.001195361405136074,0.37037037037037035
'110100010100',0,0.034166666666666665,0.000984321537348893,0.4074074074074074
'000111001001',0,0.03563333333333333,0.0008993825042154705,0.25925925925925924
'001111101001',0,0.0614,0.0012832251036613404,0.3333333333333333
'110000110100',0,0.0205,0.001023067283548188,0.37037037037037035
'110000110110',0,0.032766666666666666,0.0016779617264870948,0.2962962962962963
'001111001001',0,0.03493333333333333,0.0010964589468932353,0.2962962962962963
'001111001011',0,0.021533333333333335,0.0018116904322268263,0.37037037037037035
'000111001011',0,0.021333333333333333,0.001541283736226253,0.3333333333333333
'001011101011',0,0.0335,0.0010614455552060448,0.4074074074074074
'000011101011',0,0.036,0.0011775681155103788,0.37037037037037035
'110100010110',0,0.019866666666666668,0.00044969125210773524,0.3333333333333333
'111100010110',0,0.0204,0.0004898979485566355,0.2962962962962963
'000111101011',0,0.006533333333333333,0.0009809292646374775,0.4444444444444444
'110000010100',0,0.0068000000000000005,0.00113431330181157,0.48148148148148145
'000011001001',0,0.0061333333333333335,0.0008730533902472531,0.25925925925925924
'111000010100',0,0.006600000000000001,0.0010614455552060437,0.4444444444444444
'111000110100',0,0.021933333333333332,0.0001699673171197596,0.3333333333333333
'001011001001',0,0.006900000000000001,0.0009273618495495705,0.2962962962962963
'001111101011',0,0.006333333333333334,0.0006798692684790379,0.48148148148148145
'110100110110',0,0.0069,0.00045460605656619534,0.2962962962962963
