"Nature","Strength","Type","Node"
"P",0.209956186685666,"TS","ESRP1,ESRP1"
"N",0.221956186685666,"NF","ESRP1,MIR340"
"N",0.221956186685666,"NF","ESRP1,MIR1199"
"P",0.161258878798514,"TS","ESRP1,MIR34"
"N",0.154426409151142,"NF","ESRP1,MIR190"
"P",0.126970511855245,"DA","ESRP1,GRHL2"
"N",0.224455961561848,"NF","ESRP1,ZEB1"
"P",0.157691191097803,"DA","ESRP1,SNAIL1"
"P",0.0399671391419886,"DA","ESRP1,TGFB"
"P",0.238127803847382,"DA","ESRP1,HA"
"P",0.138127803847382,"DA","ESRP1,CD44s"
"N",0.238127803847382,"NF","ESRP1,CD24"
"P",0.209956186685666,"DA","ESRP1,HAS2"
"N",0.25394801412668,"NF","ESRP1,MIR200"
"P",0.233956186685666,"DA","MIR340,MIR340"
"P",0.233956186685666,"DA","MIR340,MIR1199"
"N",0.173673197153427,"NF","MIR340,MIR34"
"P",0.166426409151142,"DA","MIR340,MIR190"
"N",0.138970511855245,"NF","MIR340,GRHL2"
"P",0.21495573643803,"TS","MIR340,ZEB1"
"N",0.147859056805237,"NF","MIR340,SNAIL1"
"N",0.036377395552245,"NF","MIR340,TGFB"
"N",0.221956186685666,"NF","MIR340,HA"
"N",0.221956186685666,"NF","MIR340,CD44s"
"P",0.221956186685666,"TS","MIR340,CD24"
"N",0.221956186685666,"NF","MIR340,HAS2"
"P",0.266362332481593,"TS","MIR340,MIR200"
"P",0.233956186685666,"DA","MIR1199,MIR1199"
"N",0.173673197153427,"NF","MIR1199,MIR34"
"P",0.166426409151142,"DA","MIR1199,MIR190"
"N",0.138970511855245,"NF","MIR1199,GRHL2"
"P",0.21495573643803,"TS","MIR1199,ZEB1"
"N",0.147859056805237,"NF","MIR1199,SNAIL1"
"N",0.036377395552245,"NF","MIR1199,TGFB"
"N",0.221956186685666,"NF","MIR1199,HA"
"N",0.221956186685666,"NF","MIR1199,CD44s"
"P",0.221956186685666,"TS","MIR1199,CD24"
"N",0.221956186685666,"NF","MIR1199,HAS2"
"P",0.266362332481593,"TS","MIR1199,MIR200"
"P",0.14443017963224,"DA","MIR34,MIR34"
"P",0.0838526933342984,"DA","MIR34,MIR190"
"P",0.0664832747877333,"DA","MIR34,GRHL2"
"N",0.178512584521277,"NF","MIR34,ZEB1"
"P",0.118490170760352,"TS","MIR34,SNAIL1"
"P",0.161477860971855,"TS","MIR34,TGFB"
"P",0.192448707357508,"DA","MIR34,HA"
"P",0.192448707357508,"DA","MIR34,CD44s"
"N",0.192448707357508,"NF","MIR34,CD24"
"P",0.161258878798514,"DA","MIR34,HAS2"
"P",0.301618044380372,"DA","MIR34,MIR200"
"P",0.0988966316166188,"DA","MIR190,MIR190"
"N",0.0714407343207215,"NF","MIR190,GRHL2"
"P",0.138150673823243,"TS","MIR190,ZEB1"
"P",0.121272163098079,"TS","MIR190,SNAIL1"
"P",0.225455746611343,"TS","MIR190,TGFB"
"N",0.142175727952232,"NF","MIR190,HA"
"N",0.142175727952232,"NF","MIR190,CD44s"
"P",0.142175727952232,"TS","MIR190,CD24"
"N",0.154426409151142,"NF","MIR190,HAS2"
"N",0.176541828662465,"NF","MIR190,MIR200"
"P",0.0439848370248242,"TS","GRHL2,GRHL2"
"N",0.119278166900753,"NF","GRHL2,ZEB1"
"P",0.118567645236448,"TS","GRHL2,SNAIL1"
"P",0.0347352338607557,"TS","GRHL2,TGFB"
"P",0.125874241256806,"TS","GRHL2,HA"
"P",0.125874241256806,"TS","GRHL2,CD44s"
"P",0.20808194542886,"TS","GRHL2,CD24"
"P",0.126970511855245,"TS","GRHL2,HAS2"
"N",0.159172410115899,"NF","GRHL2,MIR200"
"P",0.0294667774474936,"DA","ZEB1,ZEB1"
"N",0.144387638758553,"NF","ZEB1,SNAIL1"
"N",0.0536567557773873,"NF","ZEB1,TGFB"
"N",0.224455961561848,"NF","ZEB1,HA"
"N",0.224455961561848,"NF","ZEB1,CD44s"
"P",0.224455961561848,"DA","ZEB1,CD24"
"N",0.224455961561848,"NF","ZEB1,HAS2"
"P",0.255899030402893,"DA","ZEB1,MIR200"
"P",0.0545610185833888,"TS","SNAIL1,SNAIL1"
"P",0.15454325263741,"DA","SNAIL1,TGFB"
"P",0.133399853769184,"TS","SNAIL1,HA"
"P",0.133399853769184,"TS","SNAIL1,CD44s"
"N",0.133399853769184,"NF","SNAIL1,CD24"
"P",0.157691191097803,"TS","SNAIL1,HAS2"
"P",0.187748232130776,"TS","SNAIL1,MIR200"
"P",0.178525542311471,"DA","TGFB,TGFB"
"P",0.0551529057563266,"TS","TGFB,HA"
"P",0.0551529057563266,"TS","TGFB,CD44s"
"N",0.0551529057563266,"NF","TGFB,CD24"
"P",0.0399671391419886,"TS","TGFB,HAS2"
"P",0.280001459095896,"TS","TGFB,MIR200"
"P",0.209956186685666,"TS","HA,HA"
"P",0.209956186685666,"TS","HA,CD44s"
"N",0.209956186685666,"NF","HA,CD24"
"P",0.138127803847382,"TS","HA,HAS2"
"N",0.265294131988577,"NF","HA,MIR200"
"P",0.209956186685666,"TS","CD44s,CD44s"
"N",0.209956186685666,"NF","CD44s,CD24"
"P",0.238127803847382,"TS","CD44s,HAS2"
"N",0.265294131988577,"NF","CD44s,MIR200"
"P",0.209956186685666,"DA","CD24,CD24"
"N",0.238127803847382,"NF","CD24,HAS2"
"P",0.265294131988577,"DA","CD24,MIR200"
"P",0.209956186685666,"TS","HAS2,HAS2"
"N",0.25394801412668,"NF","HAS2,MIR200"
"P",0.458805909128504,"DA","MIR200,MIR200"
