,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,oct_1,2,0,0,0,0,0
1,oct_10,2,0,0,0,0,0
2,oct_100,2,0,0,0,0,0
3,oct_101,3,1,0,0,0,0
4,oct_102,3,0,1,1,0,0
5,oct_103,2,0,0,0,0,0
6,oct_104,3,1,0,0,0,0
7,oct_105,2,0,0,0,0,0
8,oct_106,2,0,0,0,0,0
9,oct_107,3,0,1,1,0,0
10,oct_108,2,0,0,0,0,0
11,oct_109,3,1,0,0,0,0
12,oct_11,3,1,0,0,0,0
13,oct_110,5,5,4,3,3,3
14,oct_111,4,2,2,2,0,0
15,oct_112,3,1,0,0,0,0
16,oct_113,5,5,4,3,3,3
17,oct_114,4,2,2,2,0,0
18,oct_115,3,1,0,0,0,0
19,oct_116,5,5,4,3,3,3
20,oct_117,3,0,1,1,0,0
21,oct_118,3,1,0,0,0,0
22,oct_119,5,5,4,3,3,3
23,oct_12,3,0,1,1,0,0
24,oct_120,2,0,0,0,0,0
25,oct_13,2,0,0,0,0,0
26,oct_14,3,1,0,0,0,0
27,oct_15,2,0,0,0,0,0
28,oct_16,2,0,0,0,0,0
29,oct_17,3,1,0,0,0,0
30,oct_18,3,1,0,0,0,0
31,oct_19,2,0,0,0,0,0
32,oct_2,3,1,0,0,0,0
33,oct_20,3,1,0,0,0,0
34,oct_21,3,0,1,1,0,0
35,oct_22,2,0,0,0,0,0
36,oct_23,3,1,0,0,0,0
37,oct_24,2,0,0,0,0,0
38,oct_25,2,0,0,0,0,0
39,oct_26,5,5,4,3,3,3
40,oct_27,4,2,2,2,0,0
41,oct_28,2,0,0,0,0,0
42,oct_29,5,5,4,3,3,3
43,oct_3,5,5,4,3,3,3
44,oct_30,4,2,2,2,0,0
45,oct_31,2,0,0,0,0,0
46,oct_32,5,5,4,3,3,3
47,oct_33,3,0,1,1,0,0
48,oct_34,2,0,0,0,0,0
49,oct_35,5,5,4,3,3,3
50,oct_36,2,0,0,0,0,0
51,oct_37,2,0,0,0,0,0
52,oct_38,5,5,4,3,3,3
53,oct_39,3,1,0,0,0,0
54,oct_4,2,0,0,0,0,0
55,oct_40,2,0,0,0,0,0
56,oct_41,5,5,4,3,3,3
57,oct_42,3,0,1,1,0,0
58,oct_43,2,0,0,0,0,0
59,oct_44,5,5,4,3,3,3
60,oct_45,2,0,0,0,0,0
61,oct_46,2,0,0,0,0,0
62,oct_47,4,2,2,2,0,0
63,oct_48,4,2,2,2,0,0
64,oct_49,2,0,0,0,0,0
65,oct_5,3,1,0,0,0,0
66,oct_50,4,2,2,2,0,0
67,oct_51,3,0,1,1,0,0
68,oct_52,2,0,0,0,0,0
69,oct_53,4,2,2,2,0,0
70,oct_54,2,0,0,0,0,0
71,oct_55,2,0,0,0,0,0
72,oct_56,4,2,2,2,0,0
73,oct_57,3,1,0,0,0,0
74,oct_58,2,0,0,0,0,0
75,oct_59,4,2,2,2,0,0
76,oct_6,4,2,2,2,0,0
77,oct_60,3,0,1,1,0,0
78,oct_61,2,0,0,0,0,0
79,oct_62,4,2,2,2,0,0
80,oct_63,2,0,0,0,0,0
81,oct_64,2,0,0,0,0,0
82,oct_65,4,2,2,2,0,0
83,oct_66,3,0,1,1,0,0
84,oct_67,2,0,0,0,0,0
85,oct_68,4,2,2,2,0,0
86,oct_69,2,0,0,0,0,0
87,oct_7,2,0,0,0,0,0
88,oct_70,2,0,0,0,0,0
89,oct_71,4,2,2,2,0,0
90,oct_72,3,1,0,0,0,0
91,oct_73,2,0,0,0,0,0
92,oct_74,4,2,2,2,0,0
93,oct_75,3,0,1,1,0,0
94,oct_76,2,0,0,0,0,0
95,oct_77,4,2,2,2,0,0
96,oct_78,2,0,0,0,0,0
97,oct_79,2,0,0,0,0,0
98,oct_8,3,1,0,0,0,0
99,oct_80,3,0,1,1,0,0
100,oct_81,2,0,0,0,0,0
101,oct_82,2,0,0,0,0,0
102,oct_83,3,0,1,1,0,0
103,oct_84,3,1,0,0,0,0
104,oct_85,2,0,0,0,0,0
105,oct_86,3,0,1,1,0,0
106,oct_87,3,0,1,1,0,0
107,oct_88,2,0,0,0,0,0
108,oct_89,3,0,1,1,0,0
109,oct_9,4,2,2,2,0,0
110,oct_90,2,0,0,0,0,0
111,oct_91,2,0,0,0,0,0
112,oct_92,2,0,0,0,0,0
113,oct_93,3,1,0,0,0,0
114,oct_94,2,0,0,0,0,0
115,oct_95,2,0,0,0,0,0
116,oct_96,3,0,1,1,0,0
117,oct_97,2,0,0,0,0,0
118,oct_98,2,0,0,0,0,0
119,oct_99,2,0,0,0,0,0
120,wild,4,1,2,2,2,2
