"","miR145","ZEB","miR200","OCT4"
"miR200",0.713098360655738,-0.70747381427621,-0.615,-0.669098360655738
"miR145",0.518269435491267,-0.484904296491667,-0.561230600539811,-0.593269435491267
"OCT4",-0.148902821316614,0,0.247892720306513,0.148902821316614
"ZEB",-0.751694851883808,0.634690939658473,0.669098360655738,0.713098360655738
