"","miR145","miR200","ZEB","OCT4"
"miR200",0.790948114156468,0.513608457524798,-0.833480823897671,-0.725332068311195
"miR145",0.603579108292027,0.287313085638444,-0.612192237146439,-0.661454566167485
"OCT4",-0.145154078859663,0.145154078859663,0,0.145154078859663
"ZEB",-0.853088031851941,-0.545021351900655,0.787049451348651,0.790948114156468
