"","ZEB","SNAIL","OCT4","miR200","miR145"
"ZEB",0.242343721328101,0,0.377506409766635,-0.22968105676463,-0.385325339807787
"SNAIL",0.127543525879494,0,0.146383779949671,-0.190925067570541,-0.149776993522525
"OCT4",0.377506409766635,0,0.493429713338877,-0.0847498534060116,-0.509219187023088
"miR200",0.337245682112415,0,0.366904690568927,-0.227349095173409,-0.377506409766635
"miR145",-0.416439074506765,0,-0.53633829753447,0.173128161046821,0.451356612552785
