"","ZEB","SNAIL","OCT4","miR200","miR145"
"ZEB",1,0,0,-1,0
"SNAIL",1,0,0,-1,0
"OCT4",0,0,0.5,0.155826981955573,-0.5
"miR200",-1,0,0,0.9,0
"miR145",-0.587140185887917,0,-0.5,0.392857142857143,0.5
