"","miR200","OCT4","miR145","ZEB"
"miR200",0.9,0,0,-1
"miR145",0.392857142857143,-0.5,0.5,-0.587140185887917
"OCT4",0.155826981955573,0.5,-0.5,0
"ZEB",-1,0,0,1
