"","miR145","miR200","OCT4","ZEB"
"miR200",0.767761208086516,0.531713070853265,-0.706258860668675,-0.824838833657292
"OCT4",0.706258860668675,0.595591397849462,-0.637942028985507,-0.767761208086516
"miR145",0.531713070853265,0.288175001469119,-0.595591397849462,-0.565293775862541
"ZEB",-0.824838833657292,-0.565293775862541,0.767761208086516,0.77691760827436
