"","miR200","OCT4","ZEB","miR145"
"miR200",0.319985213110254,0.318552548353807,-0.268086613152474,-0.319985213110254
"miR145",0.158061563635726,0.0573289629031256,-0.243720840150584,-0.158061563635726
"OCT4",0.145154078859663,0.145154078859663,0,-0.145154078859663
"ZEB",-0.320671084166495,-0.319985213110254,0.168165044525023,0.320671084166495
