"","miR145","miR200","ZEB","OCT4"
"miR200",0.371604938271605,0.149382716049383,-0.340740740740741,-0.333333333333333
"miR145",0.260493827160494,0,-0.22037037037037,-0.340740740740741
"OCT4",-0.149382716049383,0.149382716049383,0,0.149382716049383
"ZEB",-0.371604938271605,-0.149382716049383,0.260493827160494,0.371604938271605
