"","ZEB","SNAIL","OCT4","miR200","miR145"
"ZEB",1,0,0.9,-0.51209711754806,-1
"SNAIL",1,0,0.8,-0.572742278838382,-0.9
"OCT4",0.9,0,0.8,-0.231697425381636,-0.9
"miR200",0,0,0,0,0
"miR145",-1,0,-0.9,0.367575287977056,0.9
