"","ZEB","SNAIL","OCT4","miR200","miR145"
"ZEB",0.787049451348651,0,0.790948114156468,-0.545021351900655,-0.853088031851941
"SNAIL",0.32600034349834,0,0.296786607925747,-0.105995616286834,-0.320139901338921
"OCT4",0,0,0.145154078859663,0.145154078859663,-0.145154078859663
"miR200",-0.833480823897671,0,-0.725332068311195,0.513608457524798,0.790948114156468
"miR145",-0.612192237146439,0,-0.661454566167485,0.287313085638444,0.603579108292027
