"","ZEB","miR145","miR200","OCT4"
"ZEB",-0.0396439900767894,-0.00724622702126606,0.0242277532064645,0.0693861447167393
"miR200",-0.00678738247223024,0.0693861447167393,0.00718514116939287,-0.0037700988714671
"OCT4",0,-0.145154078859663,0.145154078859663,0.145154078859663
"miR145",0.0144866258696707,0.0353334942569392,-0.130230774010678,-0.0932089521323971
