"","miR145","ZEB","OCT4","miR200"
"miR200",0.319985213110254,-0.268086613152474,-0.318552548353807,-0.319985213110254
"miR145",0.295795042278296,-0.243720840150584,-0.394696141179395,-0.295795042278296
"OCT4",-0.145154078859663,0,0.145154078859663,0.145154078859663
"ZEB",-0.320671084166495,0.168165044525023,0.319985213110254,0.320671084166495
