"","ZEB","SNAIL","OCT4","miR200","miR145"
"ZEB",1,0,0.9,-1,-1
"SNAIL",1,0,0.8,-1,-0.9
"OCT4",0.9,0,0.8,-0.9,-0.9
"miR200",-1,0,-0.8,0.9,0.9
"miR145",-1,0,-0.9,0.9,0.9
