"","miR200","miR145","OCT4","ZEB"
"miR200",0.9,0.9,-0.8,-1
"miR145",0.9,0.9,-0.9,-1
"OCT4",-0.8,-0.9,0.8,0.9
"ZEB",-1,-1,0.9,1
