"","miR200","miR145","OCT4","ZEB"
"miR200",0.483514105969785,0.483514105969785,-0.460304936915343,-0.708790992073728
"OCT4",0.390899900111762,0.390899900111762,-0.373005163269657,-0.483514105969785
"miR145",0.198455709627958,0.198455709627958,-0.29039710156935,-0.371540490987584
"ZEB",-0.503953063445779,-0.503953063445779,0.483514105969785,0.63663412932863
