"","ZEB","SNAIL","OCT4","miR200","miR145"
"ZEB",1,0,0,-1,-1
"SNAIL",1,0,0,-1,-0.9
"OCT4",0,0,0,0.1,-0.1
"miR200",-1,0,0,0.9,0.9
"miR145",-1,0,0,0.9,0.9
