"","miR145","miR200","ZEB","OCT4"
"miR145",0.451356612552785,0.173128161046821,-0.416439074506765,-0.53633829753447
"ZEB",-0.385325339807787,-0.22968105676463,0.242343721328101,0.377506409766635
"miR200",-0.377506409766635,-0.227349095173409,0.337245682112415,0.366904690568927
"OCT4",-0.509219187023088,-0.0847498534060116,0.377506409766635,0.493429713338877
