"","miR200","miR145","OCT4","ZEB"
"miR200",0.751381320329417,0.553175251351848,0.513920237025201,-0.833480823897671
"miR145",0.548027238577478,0.342864955352994,0.417956530444569,-0.612192237146439
"OCT4",0.0740429677485515,-0.0740429677485515,-0.0740429677485515,0
"ZEB",-0.807485572729966,-0.59062381102263,-0.553175251351848,0.787049451348651
