"","Ecadherin","Iext","KEAP1","NRF2","SNAIL","ZEB","miR200","miR34"
"Ecadherin",1,0.00540065322287246,-1,1,-1,-1,1,1
"Iext",0.00540065322287246,1,-0.00540065322287243,0.00540065322287246,-0.00540065322287243,-0.00540065322287243,0.00540065322287246,0.00540065322287246
"KEAP1",-1,-0.00540065322287243,1,-1,1,1,-1,-1
"NRF2",1,0.00540065322287246,-1,1,-1,-1,1,1
"SNAIL",-1,-0.00540065322287243,1,-1,1,1,-1,-1
"ZEB",-1,-0.00540065322287243,1,-1,1,1,-1,-1
"miR200",1,0.00540065322287246,-1,1,-1,-1,1,1
"miR34",1,0.00540065322287246,-1,1,-1,-1,1,1
