"","GRHL2","OVOL2","miR200","OCT4","miR145","ZEB"
"miR200",0.557210044732593,0.265889404712934,0.265889404712934,0,0,-0.57456541663342
"GRHL2",0.557210044732593,0.265889404712934,0.265889404712934,0,0,-0.57456541663342
"miR145",0.460661478279082,0.224099271974513,0.104711758659011,-0.5,0.5,-0.473608457317306
"OVOL2",0.146009028297801,-0.00576368217307144,-0.00576368217307144,0,0,-0.145846426671785
"OCT4",0,0,0.141208637819197,0.5,-0.5,0
"ZEB",-0.57456541663342,-0.271139660075549,-0.271139660075549,0,0,0.491949585298992
