"","miR145","OVOL2","GRHL2","miR200","ZEB","OCT4"
"miR200",0.717425662057241,0.704593501684183,0.704593501684183,0.243381187957585,-0.751201624626006,-0.662162504162504
"GRHL2",0.717425662057241,0.704593501684183,0.704593501684183,0.243381187957585,-0.751201624626006,-0.662162504162504
"miR145",0.602729924052402,0.583998327497303,0.583998327497303,0.0948598323015933,-0.619649041183281,-0.660932600916647
"OVOL2",0.342361472046314,0.333321539549122,0.333321539549122,0.0373981393462526,-0.352784626797444,-0.316726195514177
"OCT4",-0.141231763339896,0,0,0.14020705417156,0,0.141231763339896
"ZEB",-0.765551256728982,-0.751201624626006,-0.751201624626006,-0.255051208078309,0.694325726207223,0.717425662057241
