"","miR145","GRHL2","OVOL2","ZEB","miR200","OCT4"
"miR200",0.160515588751202,0.156184283342557,0.0752069467665424,-0.0692378963961698,-0.0150692611551896,-0.0818294573643411
"GRHL2",0.160515588751202,0.156184283342557,0.0752069467665424,-0.0692378963961698,-0.0150692611551896,-0.0818294573643411
"miR145",0.0925982841870822,0.0817534876358406,0.0388640803891217,-0.0173320714009528,-0.143025914327236,-0.138920351781516
"OCT4",-0.142924469092693,0,0,0,0.141500014822281,0.142924469092693
"OVOL2",0.0844065087770926,0.0832104272581884,-0.0112874491287465,0.000175648691178687,-0.0370735590330579,0.000322920429727225
"ZEB",-0.0724203506559643,-0.0692378963961698,0.00908129895111852,0.0423300016593277,0.0847925384205178,0.160515588751202
