"","miR145","GRHL2","miR200","OVOL2","OCT4","ZEB"
"miR200",0.830385553408888,0.822225960935711,0.60246473487071,0,-0.75282698374181,-0.896188947534307
"GRHL2",0.830385553408888,0.822225960935711,0.60246473487071,0,-0.75282698374181,-0.896188947534307
"miR145",0.660909170990201,0.641854947362764,0.370378175446787,0,-0.706692303520322,-0.694512830143319
"OVOL2",0.194847022039954,0.188848257270194,0.0339357468639672,0,-0.179875712702447,-0.200122125959705
"OCT4",-0.142849002849003,0,0.142849002849003,0,0.142849002849003,0
"ZEB",-0.905969417527784,-0.896188947534307,-0.649916964170073,0,0.830385553408888,0.865750783157849
