"","ZEB2","TWIST1","SNAI2","TWIST2","ZEB1","GSC","TGFbeta","miR141","miR34a","miR200b","miR200c","miR200a","FOXC2","miR101","SNAI1"
"ZEB2",-0.0840316110191498,-0.0224881147872388,-0.0132264706316612,-0.00731366749791042,-0.00182930052814672,-2.7633790882719e-05,0.000431593894711232,0.00164067856339265,0.00176092673394215,0.00394613300140112,0.00785634493050327,0.00785634493050327,0.0136264450939351,0.0234496672095779,0.0339639854300867
"GSC",-0.0826891651697396,-0.214525273545452,0.109181900460346,0.092556117202055,0.0786877148925094,0.0173327198164307,0.0169825289466323,-0.0786199086219034,-0.0743505262462051,-0.0186106059902055,-0.00540603631537773,-0.00540603631537773,-0.00122931887859784,0.025802744972463,0.0568107269043156
"TWIST2",-0.073250864522819,-0.241449599840844,0.150925207013242,0.133091453685509,-0.0805186179366738,-0.011855491975997,-0.0120292258971207,0.0807178281320142,-0.00930811719143667,0.00497351542943782,-0.0775505676373072,-0.0775505676373072,0.145762636369427,-0.0297957993997621,0.0990330775200748
"SNAI2",-0.0414037285674424,-0.168948493363201,0.0137071382685865,0.128847189183862,0.0152165436890067,0.00776969752666651,0.00753617857570549,-0.0148303786461534,-0.0461424955047606,-0.0148330491371532,-0.0128950112569958,-0.0128950112569958,0.107142821728191,-0.0104040929573365,0.0936204961685271
"ZEB1",-0.0268242188398158,-0.0337365444161647,0.0775943049484141,0.0909176779204416,-0.100161583264534,-0.00336633693305421,-0.00265995776612094,-0.000152212206986016,-0.00359318595810862,0.00883019725323606,-0.00968212561955807,-0.00968212561955807,-0.0719980289297604,-0.0635128550766639,-0.0492378488938855
"miR200b",0.00446083754323163,0.127995645294495,-0.00320452227242606,-0.0665367373882138,-0.00384361228522411,-0.0943116862138782,-0.0939091395387704,0.0036399689202952,0.109788273468033,-0.0198414415304788,0.000768899640878484,0.000768899640878484,-0.0568492780235389,-0.0592608325193871,-0.122987854703678
"TGFbeta",0.00591510046954181,-0.128962277627131,0.0243517951610634,0.026696622496847,0.0545348504242395,0.0276469705995837,-0.0734161383892528,-0.0537620451379125,-0.149388662999027,0.045751190615017,0.0257113067807472,0.0257113067807472,0.0657600147454815,0.0596869150819614,0.14344025820232
"miR200a",0.0089439572591834,0.136964607050132,-0.000244786156605247,-0.0635739921655729,0.00220339179124742,-0.0941732244685256,-0.0942699790106138,-0.00193772976518107,0.107521333593431,0.0050123544422561,0.00609349065877149,0.00609349065877149,-0.0627537471522937,-0.0664106753393216,-0.133377029313773
"miR141",0.0089439572591834,0.136964607050132,-0.000244786156605247,-0.0635739921655729,0.00220339179124742,-0.0941732244685256,-0.0942699790106138,-0.00193772976518107,0.107521333593431,0.0050123544422561,0.00609349065877149,0.00609349065877149,-0.0627537471522937,-0.0664106753393216,-0.133377029313773
"miR200c",0.0175040421997287,-0.0983592535155124,-0.0453579472940105,-0.0229834046398169,0.00272826608708125,0.0898842133907423,0.089443442699007,-0.00191276697570684,-0.0079721621046063,0.0461276942318494,0.0092068097685863,0.0092068097685863,0.0714836308571614,0.0962556111293877,0.148763178445151
"FOXC2",0.026101883912153,0.0343429127774766,-0.0776164015374552,-0.0899642908875617,-0.000152212206986016,0.00341061655889137,0.00336633693305421,0.00085809958537796,0.00451013800651534,-0.00866412720858167,0.00934933054608271,0.00934933054608271,0.0712592304412897,0.062584987040118,0.0487099055213974
"miR101",0.0276416762531703,0.218748837526306,-0.15253817915069,-0.131000554382122,-0.0722721928134486,-0.0255649640399117,-0.0247574199240757,0.0719233758247315,0.102081465362461,0.0450453629726088,-0.0215656550514259,-0.0215656550514259,-0.176717434583,-0.0513863820561404,-0.155121542232918
"SNAI1",0.0620342008256226,-0.219165335525845,0.150218470174749,0.138961293007522,0.0273602398148442,0.0282664041233192,0.0286474463789625,-0.0279207141622456,-0.137582092960047,-0.0703806985279173,0.0405083037257526,0.0405083037257526,0.185070235176218,0.052411534484886,0.0528920644440548
"TWIST1",0.0786704755029452,-0.106816579474743,0.0059054044331648,0.0041798465576918,0.100461265029484,0.0328612637093998,0.0323399290927813,-0.100279509546354,-0.111987550292295,-0.0537506378471314,0.0915660729039652,0.0915660729039652,0.0531770583067128,0.0376420290309192,0.147265680578719
"miR34a",0.0823941663874279,0.040044644249485,-0.0785361661201118,-0.155140680276032,0.105128521826028,0.0326737301594063,0.0321950174052608,-0.104944510087023,-0.0870706483587984,-0.0290725350687658,0.1358497558965,0.1358497558965,0.054141789877075,0.0672722749483984,0.0589596322782478
