"","ZEB2","SNAI2","miR200a","miR34a","miR101","TWIST1","miR200b","TGFbeta","GSC","ZEB1","miR141","FOXC2","miR200c","TWIST2","SNAI1"
"GSC",-0.154688028663408,-0.0213587237870339,0.135769959858813,-0.0538226951112037,0.225185733704426,0.373807408877671,-0.0126137971182986,0.0133685775613204,0.0131698205811645,-0.122190860162443,-0.122075392962498,0.437139604406072,-0.135769959858813,0.0357403070369636,-0.33689806635896
"TWIST1",-0.121079757087192,0.0288932033315428,0.0977614914132981,-0.0583896935526315,0.116823635117451,0.222156653580026,-0.00666372712127487,0.00845669155173638,0.00819602424342711,-0.0827459396052574,-0.0827633113846721,0.371735173644721,-0.0977614914132981,-0.0475950863002582,-0.264545377451044
"ZEB2",-0.086545712528885,-0.00972656903526875,-0.00696780959416479,-0.00477783583918283,-0.00359046448987433,-0.00162646134132921,-0.000189248388151659,0.000324651453422489,0.000563145389587303,0.00124834175341106,0.00141606102022404,0.00376760757511149,0.00696780959416479,0.00741445582178821,0.0171740456606389
"SNAI2",-0.0303111771299782,-0.00127934541685006,-0.0156128625242112,0.0142997562053269,-0.119172419085067,0.00152717376657673,-0.0132570057857888,-0.0119443270221608,-0.0117723954868378,0.059814916779326,0.0600811797533662,-0.0847046995396867,0.0156128625242112,-0.104438317918431,0.142134696917565
"miR101",-0.013978838985452,-0.102556439537427,0.0669534639859039,-0.0539835698183761,0.262102381152279,0.262559291089304,0.0406896271320053,0.0260975612957287,0.0255979043700262,-0.119915439826771,-0.119900777920109,0.326557776567765,-0.0669534639859039,0.0547532131395298,-0.323891139624568
"miR200c",-0.0127929733319891,0.025673213869138,0.00339383067989839,0.00503127551288923,0.0183133552690272,0.00955132272306593,0.01998599287058,-0.0903033522781773,-0.0905530028867753,0.00543248251929425,0.00528252695057387,-0.0201375309621593,-0.00339383067989839,-0.0172911902868608,-0.063154085292234
"miR200a",-0.0127929733319891,0.025673213869138,0.00339383067989839,0.00503127551288923,0.0183133552690272,0.00955132272306593,0.01998599287058,-0.0903033522781773,-0.0905530028867753,0.00543248251929425,0.00528252695057387,-0.0201375309621593,-0.00339383067989839,-0.0172911902868608,-0.063154085292234
"miR141",-0.00565959556715422,0.0226198404207135,-0.00287884731897784,0.000794865404510365,0.0174059612327755,0.00910101837026613,0.0511130131953781,-0.0880581555848287,-0.0887402153815247,0.0116188580103769,0.0113309803445001,-0.0185651440791906,0.00287884731897784,-0.013758623921228,-0.0583256511356275
"miR200b",0.00565959556715422,-0.0226198404207135,0.00287884731897784,-0.000794865404510365,-0.0174059612327755,-0.00910101837026613,-0.0511130131953781,0.0880581555848287,0.0887402153815247,-0.0116188580103769,-0.0113309803445001,0.0185651440791906,-0.00287884731897784,0.013758623921228,0.0583256511356275
"ZEB1",0.00824271423357927,0.0708445112738646,0.0060218615955175,-0.014756701463243,0.0340339441496974,0.0222666129663644,0.0156235730375492,0.00544078301014585,0.00518996721898839,-0.111742493688308,-0.0119059079434453,0.118863468874659,-0.0060218615955175,0.0207581343308241,-0.140565091036369
"FOXC2",0.00847105381095855,0.0710530815167654,0.00588932234016819,-0.0149066667697766,0.0339024073016046,0.0220993389356577,0.0152185466508644,0.00518996721898839,0.00620286366001346,-0.0119059079434453,-0.0114007873232041,0.11839921345706,-0.00588932234016819,0.0212097387148199,-0.140181773576611
"TGFbeta",0.010137502549732,-0.0275764359137171,-0.00699478151290882,0.103549924621443,-0.0494102385734156,-0.0315154355269049,-0.0738652751947573,-0.0907440528396711,0.00934951365707025,0.00494707463095796,0.00496558681605471,-0.0252389691469341,0.00699478151290882,0.0189804784355951,0.126099291959094
"miR34a",0.0313690778497141,-0.00330110698055677,-0.13536805619715,0.0384314076873716,-0.131097536828287,-0.123289863549755,-0.0674057523462671,-0.0531928550117441,-0.0528282081609945,0.137127687482586,0.137231960801355,-0.230289720932203,0.13536805619715,-0.0707609486697238,0.269787062646038
"TWIST2",0.0701944346166694,-0.140994418059914,0.0116809315384251,-0.0268714522249217,0.163590786950833,0.00883531788431451,0.00961628568867582,0.0150313030586906,0.0148711509424756,-0.0908744799118316,-0.0907368357812764,0.0945518295746087,-0.0116809315384251,0.133486956334988,-0.184120696108202
"SNAI1",0.122719108845751,0.107607249721163,-0.145887123906068,0.144705044947535,-0.326994473297529,-0.328294691245154,0.0123837817766504,-0.0164773633964671,-0.0164270071358358,0.161944814544025,0.161750982544124,-0.433869633021705,0.145887123906068,-0.11787366370154,0.353372280213232
