"","ZEB2","miR34a","miR200b","miR200a","miR141","SNAI2","miR200c","GSC","TGFbeta","ZEB1","TWIST1","miR101","TWIST2","FOXC2","SNAI1"
"GSC",-0.117291532956361,0.0696055764240508,0.119192338457338,0.0978202352346087,0.0838065784721071,-0.0885627779134147,0.0153612035975648,0.0155345218284643,0.0140018846703737,-0.0819129163930097,0.13062431820248,-0.0267184482560467,0.00930854876263997,0.0191676297650656,-0.0409285508936455
"ZEB2",-0.0864391818006814,-0.0263651573491139,-0.0147020365222062,-0.0113914067795912,-0.00797499411486016,-0.005510375601966,-0.00538438142991419,0.00141455363276614,0.00196511942157215,0.00784509877765485,0.00793592177504801,0.014238757870414,0.0144067877866533,0.021991792128866,0.0222021370896126
"miR34a",-0.0734668725936929,0.0861608231859373,0.122013997102242,0.113520929291124,0.0763391902569628,-0.141491854571174,-0.0573736140317006,0.0525936926751435,0.0517400186002604,-0.07559229132659,0.0334094091778454,0.0246032449896024,-0.010958852860776,-0.103823136220412,-0.0977646361047874
"miR101",-0.0203234416828223,-0.026571428735706,-0.0275548885602686,-0.00405119331814384,-0.0252021716755181,0.124607168389124,0.0241305112530128,-0.0220874187935867,-0.0202348175866689,0.0231239316498768,-0.0242543139428373,0.00594193663633413,-0.00675807013147821,0.11705741729937,0.0306882535315343
"SNAI2",-0.0198182945899025,0.0481095155890428,0.0216612202177105,0.0243956272766677,0.025782149199502,-0.111820470345519,-0.00322945234489216,0.00510448232747407,0.00592992477317877,-0.0274169033835148,-0.0310828131844985,-0.0333243917004417,-0.0154189310808748,-0.0478255055921082,-0.0791661908043441
"TGFbeta",-0.00817025706852009,-0.0463239034146357,0.0900594694809617,0.027753567000534,0.052626665182402,-0.0204590267527791,-0.0181716779423556,0.199103202079245,0.100980984875916,-0.0550749801029094,0.0578229633687608,0.0358354655417593,0.0677915796809088,0.0760232081190765,0.0425481795254914
"ZEB1",-0.00380197901150755,-0.0181383037032314,-0.0198905827122509,-0.0088183349597801,-0.0128905244712144,0.111774190209201,0.00784032585759225,-0.00904345461150212,-0.0104984421346962,-0.0858192046922149,-0.0130371912482546,-0.0198252464703232,0.00562698042577348,0.0758827247494049,0.0737231297960075
"FOXC2",-0.00198918192572472,-0.0206310106143192,-0.0197115961085678,-0.0087749269067181,-0.0151021625357374,0.112423614350533,0.0102810159877585,-0.0112961805759677,-0.00904345461150212,0.0128905244712144,-0.01397810767098,-0.0179493651141901,0.00432498649998449,0.0777968143614971,0.0716407518167725
"TWIST1",-0.00140128805979035,0.0295475840421543,0.0538859942248497,0.0718811132340684,0.117243208916867,-0.0198867634331707,-0.0496336395554556,0.0307582884547963,0.0314547380323816,-0.118340742383471,-0.0315625937285062,0.0265043056297229,0.0533803985659551,0.0157765170550635,0.0290002674169939
"miR200c",-0.00101997506358814,0.112033325726404,0.020479974297512,0.0115955865720257,0.0200738007652266,0.0052092817487208,-0.00998271152097389,-0.101972384515035,-0.101574615842006,-0.0203107675898711,-0.0403837723779819,-0.0428086029768657,-0.0478022325880591,-0.0822831333558181,-0.0822668193624039
"miR200a",-0.00101997506358814,0.112033325726404,0.020479974297512,0.0115955865720257,0.0200738007652266,0.0052092817487208,-0.00998271152097389,-0.101972384515035,-0.101574615842006,-0.0203107675898711,-0.0403837723779819,-0.0428086029768657,-0.0478022325880591,-0.0822831333558181,-0.0822668193624039
"miR200b",0.00101997506358814,-0.112033325726404,-0.020479974297512,-0.0115955865720257,-0.0200738007652266,-0.0052092817487208,0.00998271152097389,0.101972384515035,0.101574615842006,0.0203107675898711,0.0403837723779819,0.0428086029768657,0.0478022325880591,0.0822831333558181,0.0822668193624039
"miR141",0.00791835504614134,0.0140980602742696,0.0290186898129869,-0.00529955400876282,0.00228385151959048,-0.082238801658488,-0.00650924423811286,0.121740800495462,0.119398384976511,-0.000129860109637872,0.0526699874014303,0.0565640464839142,0.023760154823415,0.0614660063241368,0.036172833718784
"SNAI1",0.0649216147546636,-0.0472912292471655,-0.0526040115713775,-0.0286203665555368,0.032906690515343,0.0978931030965584,-0.0458574135992537,0.00208450393763454,0.000741538152136352,-0.0312521628224075,-0.0177759688540392,0.0113821208282015,-0.00987225468626414,0.108197110720422,-0.0799097211348878
"TWIST2",0.0706076257760827,-0.0541622979335688,-0.0605033420894797,-0.0463386978676587,-0.0207022318880829,0.0961620372273169,-0.0234029742904217,-0.00767754566079434,-0.00712125756807588,0.0200351196003758,-0.0190990462363571,0.00322532603138675,-0.0749229537340021,0.0357196164706066,0.0968732701488972
