"","miR200c","ZEB1","miR141","TGFbeta","GSC","miR34a","TWIST2","SNAI1","SNAI2","miR101","FOXC2","TWIST1","ZEB2","miR200b","miR200a"
"miR200c",0.234008300103547,0.249112319463516,0.248948479119914,0.118468886033033,0.118527416558494,0.139744905437597,0.0669613691012838,0.0680031592355862,-0.0179012035718859,-0.0430827605647282,-0.0412762927933931,-0.122923826637521,-0.216822405909349,-0.167477841567027,-0.234008300103547
"miR200a",-0.00942828116016535,-0.21885845205771,-0.218938058100364,0.11251417622119,0.112582262750807,-0.198855963485677,-0.0408241067750445,0.00973123059846905,-0.0995207870467084,-0.0546673528323892,-0.0177645737448391,-0.0458184828618201,-0.200838466495216,0.0472139576580021,0.00942828116016535
"miR200b",0.225240649108094,0.254092970960666,0.254106855735548,-0.0602810586826239,-0.0603658682195161,0.220706669392535,0.0528954484946183,1.54082848954928e-05,0.0943860212172328,0.0473752813040781,0.0084315467344729,0.027637582582579,-0.192820320497464,-0.225483535850896,-0.225240649108094
"miR141",0.225240649108094,0.254092970960666,0.254106855735548,-0.0602810586826239,-0.0603658682195161,0.220706669392535,0.0528954484946183,1.54082848954928e-05,0.0943860212172328,0.0473752813040781,0.0084315467344729,0.027637582582579,-0.192820320497464,-0.225483535850896,-0.225240649108094
"SNAI1",0.0301214911192785,-0.0705102572430845,-0.0705659027932953,0.0199273152472933,0.0199205746454765,-0.0865927376642133,-0.042553820112241,-0.0873554324264773,0.0268336274772094,-0.0413897471361425,-0.0350508949712179,0.00255176751093406,-0.132399165842572,-0.0313024591215445,-0.0301214911192785
"TWIST2",0.171609445328058,0.223991417458298,0.223898628603515,0.0184668622013403,0.0184696917440296,0.169712376338323,-0.0133442742889102,-0.075734361375771,0.061247740915364,0.0610544726744343,0.0497307338467907,-0.0192826652972677,-0.11500839284659,-0.126719255519764,-0.171609445328058
"miR34a",-0.0925898929858046,-0.14227154574038,-0.14221398309382,0.0273719093310821,0.0272802925682481,-0.086891293432209,-0.0147698933741983,0.00317166498044573,0.0738151970223005,0.0275983001594183,-0.0296452665618959,0.00427439564094116,-0.0826576143673391,-0.000821781297252704,0.0925898929858046
"TGFbeta",-0.0158269876683485,-0.0625950659270336,-0.0625219584841939,-0.089251174703149,0.0106762306011035,-0.07762662585939,0.0467553103681636,0.00250680491115536,-0.052059438386388,-0.0265125624389324,-0.014068388212221,-0.0548938919299035,-0.0300698815430337,0.0892721590208369,0.0158269876683485
"ZEB1",0.250226429969477,0.171128112075327,0.271068962130216,0.00696292536364912,0.00697828143249549,0.243774908940767,0.109662005411227,0.0887492151062782,0.117818747688522,0.0148677148355856,-0.0807255806346609,-0.0967168930503703,-0.0212488958971318,-0.255765926715488,-0.250226429969477
"FOXC2",0.250169131339436,0.271068962130216,0.270971782476005,0.00697828143249549,0.0069672115260362,0.243711490776313,0.109786130592793,0.0887868413599968,0.11788719322043,0.0147243278209981,-0.0808042418515962,-0.0966213078899664,-0.0211976601683554,-0.255661671631899,-0.250169131339436
"ZEB2",-0.228848193643343,-0.0772072132878955,-0.0771708824081407,-0.0634866340040474,-0.0634384277829077,-0.0528202164398377,-0.0326156769148077,-0.0302565013640908,0.0175684939189773,0.0239733508732236,0.0242047708788157,0.0455190285918789,0.0885849063999591,0.221787053362962,0.228848193643343
"SNAI2",-0.121316562970289,-0.134561211009675,-0.134458389961838,-0.0134980500989785,-0.0134321857794767,-0.0882200558035375,-0.0349655128123942,0.00264042379376683,-0.101564452839525,-0.00142866825005886,-0.0257228744084815,0.0690896208328425,0.105931787549384,0.0905467869432321,0.121316562970289
"TWIST1",-0.197394666263686,-0.25284219044897,-0.252745478900885,-0.00578641777640994,-0.00581716315123617,-0.184767296230343,-0.139688121361062,-0.0108977080059878,0.0323930601436502,0.00532417081431528,-0.117668573605103,0.0244458577620996,0.118559725859088,0.117599485593436,0.197394666263686
"GSC",-0.127453325439022,-0.118096444562288,-0.118106271558028,-0.0239658593173422,-0.0239324176667128,-0.0120419870635502,0.0237333614256554,-0.105522975086796,-0.0606290666387382,0.0738727267981998,-0.0253218464568113,-0.0063783974291839,0.140328787497192,0.137441626888114,0.127453325439022
"miR101",-0.180755701033633,-0.147661843191667,-0.147649227132446,-0.0338934493619279,-0.0338248345024125,-0.0612482129457437,-0.0187193650428987,-0.0275568354240691,-0.0587047726469728,0.0336690392924749,0.0376232626957988,0.0208519288718677,0.210071736080549,0.180561561144895,0.180755701033633
