"","ZEB2","SNAI2","SNAI1","TWIST1","miR200c","ZEB1","miR141","miR34a","miR200a","TGFbeta","GSC","miR200b","TWIST2","FOXC2","miR101"
"TWIST1",-0.0948645960216819,0.0829758616604496,0.00303644152828132,0.00335603735753851,0.104325596758317,0.10895106932191,0.109510855467527,0.0306626380101909,0.00861609137952019,-0.0479290581974475,-0.0476911157314011,-0.0271338576305253,-0.0772846289215864,0.015528050546538,-0.0597546402211192
"ZEB2",-0.0858503183246358,-0.0811243859756589,-0.0393925081032112,-0.0332801421217328,-0.0110843666252972,-0.00661244651781415,-0.00641785235364834,0.00477116591706596,0.00694270838602901,0.0141114351032028,0.0144564901597817,0.0236494294603141,0.0389712569744731,0.0503137773991824,0.060326126801339
"GSC",-0.0722494414171839,-0.0365900249028206,0.0365391687240776,-0.108258987089627,0.0120752638318856,-0.0577584524950109,-0.0577358504048089,-0.0479246771481527,-0.0637792311944763,-0.0318364443142307,-0.0319115302845118,-0.0666428846688634,-0.00652237244416555,0.024328203219701,-0.0464904221516778
"SNAI1",-0.0581534261807597,0.0389887283728101,-0.0862449588310988,0.00217527273829587,0.0533916006796453,0.0509484815958607,0.0508984006006709,-0.0317476242828561,-0.0136961718990479,-0.0306568315989849,-0.0306183705180303,-0.0223667443354569,-0.0356510862815974,-0.0874189763742908,-0.0773427671236532
"TWIST2",-0.0281881177403126,0.0404851327899439,-0.0774755111815828,0.00633848855706383,-0.0381762927318497,-0.103787726753987,-0.10433610448818,-0.00522308184278649,-0.0628371397722347,-0.0126206499386918,-0.012857765616056,-0.0495581973462692,-0.0657563581545405,0.0165090864224152,0.0281293142517308
"SNAI2",-0.0230115297748461,-0.0673271211802504,0.0146517888990267,0.071770883799025,0.0222736133951556,0.0218075237808582,0.0216517850601932,0.00464588614181707,-0.000683348306480266,-0.0125331471109124,-0.0127273185463268,-0.010444927031833,-0.016311935500836,0.00846855581882875,-0.0242454319895295
"miR141",-0.016936802915357,0.0837116941020209,0.0759724480268631,0.0585239329071204,0.0190231821179886,0.0226735784275018,0.0219524957853218,-0.0743707362770188,0.00246994165535458,-0.124922522059842,-0.125079001627911,-0.0622433222252553,-0.0792725113923327,-0.0853493638085445,-0.0803543123163505
"miR34a",-0.0122595465778654,0.0751202462005766,-0.0892321167176012,0.0221707894553154,-0.0954868134017158,-0.0988705498685877,-0.0993362411157627,-0.00140320016215803,-0.10594283755673,-0.0199949369954827,-0.0201047557641776,-0.0912918921042797,0.0165679980567695,0.0952499134485093,0.010518024323327
"TGFbeta",-0.000423267054754038,-0.0860408409570991,-0.0269644151954716,-0.0797341566183795,-0.0333630206175813,-0.0706157239864902,-0.0709360789184187,0.0271995496343106,-0.0335833685379208,0.0980805439293479,0.198075704282965,0.0735028340777269,0.0985594486886448,0.0500558263782961,0.0577025054061183
"miR200c",0.00458345685378685,0.0589579556502947,0.0640803175444728,0.0455284380104761,0.00405689271369537,0.0135905534970406,0.0129851773122065,-0.0766232899142258,0.00845334291703785,-0.102912502374055,-0.103052258934849,-0.0170097706944965,-0.066071505588301,-0.0657401994031832,-0.0618744894712514
"miR200b",0.00505040474965981,-0.127985741189374,-0.0261835631930408,-0.0596115863729794,-0.00171410104849974,0.00185445336618978,0.00135830407709025,-0.00996547508755207,0.00297493836571667,0.120315784700762,0.119903682021497,0.0378990634443896,0.0528124627537903,0.0540719729022889,0.0769086666989927
"miR200a",0.00505040474965981,-0.127985741189374,-0.0261835631930408,-0.0596115863729794,-0.00171410104849974,0.00185445336618978,0.00135830407709025,-0.00996547508755207,0.00297493836571667,0.120315784700762,0.119903682021497,0.0378990634443896,0.0528124627537903,0.0540719729022889,0.0769086666989927
"ZEB1",0.0118131404044158,0.0733543014628977,-0.079115955910371,0.00134840832300223,-0.0107677387201026,-0.108428555450172,-0.00850976130701916,-0.0102716395766097,-0.00382358742580965,0.00290875488756313,0.00289467849112062,-0.00823622716720947,0.00783176267482198,0.0902921243229604,0.00435102047348108
"FOXC2",0.011913538739995,0.0733591519336628,-0.0792300104919553,0.0015365916075473,-0.0097346270572269,-0.00850976130701916,-0.00710546190825153,-0.0094860004334264,-0.00333452336131107,0.00289467849112062,0.0035533379254484,-0.00770203519023785,0.00821734302606984,0.0898587164414149,0.00441145632260476
"miR101",0.0294918018537304,0.042576272680411,-0.0123990538607085,0.00741501750075319,0.0206440641589789,0.0696120643989225,0.0705221255356635,0.0128459188442004,0.0460465901414157,0.00947160872085733,0.00984107334901757,0.0453008606479488,0.0051028319862243,-0.0655658448092423,-0.065029223870964
