"","miR200b","GSC","miR200c","miR200a","SNAI1","FOXC2","miR141","TWIST1","ZEB2","ZEB1","miR101","SNAI2","TWIST2","miR34a","TGFbeta"
"TWIST1",0.138621170375152,0.0575621319830716,0.0355571317534789,0.0355571317534789,0.038447084262372,0.0324460629457216,0.0879545649771366,-0.101905924066287,-0.171905856932521,-0.0879294147890287,-0.109035252948075,-0.181716969743723,-0.150048760823529,-0.0263740218824816,-0.0577118485909211
"miR200a",0.132398091384175,0.164493839301347,0.0626984538060597,0.0626984538060597,0.104809789249969,0.101621846276304,0.0307559295438107,-0.048846575772302,-0.155851213653189,-0.0306698439395453,-0.116970606418598,-0.130840855733262,-0.130445704047942,-0.128674727443994,-0.164671819878768
"TGFbeta",-0.0894594364341724,-0.145939981733425,0.0833477531665691,0.0833477531665691,-0.0608450542724494,-0.0781261780273589,-0.0736870491840887,0.0625297453603754,-0.0957755224354585,0.0738913107518511,0.0757295893386184,0.0919237634653469,0.13491828638559,0.107890235209972,0.0462206812236486
"ZEB1",0.0190139644876914,0.0129801513772068,0.0164189251956835,0.0164189251956835,-0.0731347460580471,-0.0753713435603475,-0.00556600716301297,-0.00831210190035006,-0.0372411319589725,-0.0947788670932266,0.0614893872139519,0.0508386267581663,0.0719591580184425,-0.00149443257884281,-0.0136199875791391
"SNAI2",-0.208769339936615,-0.189886746127534,0.0146018389111987,0.0146018389111987,-0.140767589133192,-0.0838579491822334,-0.0427425475608223,0.0546587063056332,0.0126172627957046,0.0427462317026015,0.245949650661252,0.0573890701162262,0.208123565380482,0.0808934615054763,0.189884179985216
"miR34a",-0.0231606668470579,-0.0320398560615228,-0.0501118588957699,-0.0501118588957699,-0.13505510459779,-0.127551261884045,0.006049847571181,0.0100314693263986,0.0155478942988206,-0.00600879879863366,0.0870158295644306,0.0483282893397112,0.191012611542084,0.067838124395789,0.0318899928799335
"FOXC2",-0.0193313427952531,-0.0141590964151212,-0.0164461275756023,-0.0164461275756023,0.073047735346323,0.0752957670970175,0.00521680115282513,0.0077714483368158,0.0371555416374905,-0.00556600716301297,-0.0611848379350346,-0.050845632993716,-0.0720119772446408,0.00193985192212906,0.0129801513772068
"ZEB2",-0.239841379772055,-0.162625034809985,-0.13503549247874,-0.13503549247874,-0.112509881422517,-0.109163791835697,-0.0932360979224588,0.0329095503816645,0.0487970725574066,0.0934287013534873,0.121103123572295,0.130730596996904,0.131033759350403,0.131785022756572,0.162906660628222
"TWIST2",0.025688919440755,0.0188927817266152,0.00334998747975266,0.00334998747975266,-0.0824285960249939,-0.0289740373390093,-0.0620625860333851,-0.0324215261907,0.0534566493930332,0.0620951280962001,-0.0593369039047799,-0.182916010250979,-0.120398760228439,0.0709919290967994,-0.0187586614031418
"SNAI1",-0.0226278323610096,-0.0484671715957641,-0.0637137423277843,-0.0637137423277843,-0.071902323068347,0.108412184098083,0.0693703959645933,0.0142218328680187,0.0552327181681362,-0.0693571028609318,-0.0323828114261967,0.064233842591991,-0.0233189524310688,-0.0954566739643472,0.0483747857002751
"miR101",-0.0396183348275501,-0.0435832004930949,-0.0516224901002937,-0.0516224901002937,-0.0341865002422624,-0.121357264746823,-0.00937983903412842,-0.0101539821962316,0.11571652879134,0.00932221433120252,0.0396655984182164,-0.0557808921059876,0.0131211179212697,0.051102971585997,0.0432735539475892
"miR141",-0.132398091384175,-0.164493839301347,-0.0626984538060597,-0.0626984538060597,-0.104809789249969,-0.101621846276304,-0.0307559295438107,0.048846575772302,0.155851213653189,0.0306698439395453,0.116970606418598,0.130840855733262,0.130445704047942,0.128674727443994,0.164671819878768
"GSC",-0.0600958252987294,-0.0743822007727893,-0.0869967554592673,-0.0869967554592673,-0.0508201732018033,0.00930236513223729,0.0338141899213123,-0.108547356819513,0.15921237875131,-0.0338092764234423,0.104145769391738,0.0566283569453038,0.0419613557827481,0.0255229490168463,0.0743045909043475
"miR200c",-0.0573205856686047,0.0248552039717455,-0.098356234638824,-0.098356234638824,0.0658983112156255,0.0582907421896883,-0.0206649888044794,-0.035944277534011,0.218146002205085,0.0205594645153799,-0.077201625743145,-0.0902468634991794,-0.0842532228103533,-0.0744305730250357,-0.0252266936333435
"miR200b",-0.0573205856686047,0.0248552039717455,-0.098356234638824,-0.098356234638824,0.0658983112156255,0.0582907421896883,-0.0206649888044794,-0.035944277534011,0.218146002205085,0.0205594645153799,-0.077201625743145,-0.0902468634991794,-0.0842532228103533,-0.0744305730250357,-0.0252266936333435
