"","ZEB2","miR34a","ZEB1","TWIST2","miR200b","miR200c","miR200a","miR101","SNAI1","TWIST1","GSC","TGFbeta","FOXC2","SNAI2","miR141"
"TWIST2",-0.132093948069839,-0.124537725065441,-0.195821900507347,0.00194211359832529,-0.0187336400018153,-0.0315856968012771,-0.0315856968012771,-0.0270672319384524,-0.0311614999584448,-0.145521480223967,-0.015887307177044,-0.0159920002565485,0.0756889519421433,-0.0141895725139961,0.195741864623126
"ZEB2",-0.082899791437864,-0.0483685644722014,-0.0430309100485878,-0.0425692542733618,-0.0402555535514323,-0.0295585653820045,-0.0295585653820045,-0.0276734218406204,-0.0173220352703145,-0.00872723950820041,0.000882855496600702,0.0010426971772218,0.0252193136021322,0.0378216335056682,0.0430154818667741
"miR34a",-0.0191237900833227,-0.100383638607231,-0.189248672565203,0.157532106497164,-0.0268720300798269,-0.142937525953183,-0.142937525953183,0.0543614251367313,-0.00845581106925936,-0.0963534599818707,0.019431570299927,0.0194758618475222,-0.0171956192707801,-0.0923888238162207,0.189217060292092
"miR200c",-0.0186878782387839,0.225177264675806,0.245264390575133,0.182336952238065,0.171916154456563,0.132679731987966,0.132679731987966,0.106474186609229,0.0584718960876811,0.018955589510751,-0.088691479763198,-0.0885445561992862,-0.101005736622724,-0.15416668336958,-0.245224587553806
"miR141",-0.0128571568179746,-0.123258254104868,-0.207012230346736,-0.0332131874221238,-0.0343795254621796,-0.0976600017209691,-0.0976600017209691,0.0323273902395769,0.00410383125362495,0.0510983246908469,-0.0926606584475074,-0.0924755108669682,-0.0777271205273462,-0.0613260315330486,0.206997419920196
"miR200b",-0.01031100358011,0.143343318993886,0.229823792967409,0.048774805500842,0.0921849636397033,0.121097041811567,0.121097041811567,-0.0234532804699053,0.000854244073928699,-0.0477762408211516,0.0868014060781534,0.0867428755526926,0.0678670049532153,0.0486991826083113,-0.229802502979258
"FOXC2",-0.00675382919201134,0.250077597495965,0.25314754571472,0.239628308932504,0.245473255848604,0.234348873788535,0.234348873788535,0.10902209516738,0.0843765936006911,-0.0365607610668789,0.0044772793461328,0.00443299972029563,-0.081040747345497,-0.130871938000847,-0.253084539125726
"ZEB1",-0.0067422789410155,0.250118632778847,0.153160077482752,0.239707537771801,0.245507392468894,0.234372603524209,0.234372603524209,0.109056460650215,0.0843801210619773,-0.036536864776778,0.00443299972029563,0.00443939808231496,-0.0811070695480111,-0.130889723060319,-0.25314754571472
"TWIST1",0.00565426092847058,0.00406843307144802,0.0747217177095922,0.0718603943419441,0.024397378524429,0.0220031256684942,0.0220031256684942,-0.0235723356766762,-0.00759384830572359,-0.0937893895507183,0.00688563442896947,0.00674260159825617,0.00846901642936703,-0.0285795427434784,-0.0747774629718931
"miR200a",0.01031100358011,-0.143343318993886,-0.229823792967409,-0.048774805500842,-0.0921849636397033,-0.121097041811567,-0.121097041811567,0.0234532804699053,-0.000854244073928699,0.0477762408211516,-0.0868014060781534,-0.0867428755526926,-0.0678670049532153,-0.0486991826083113,0.229802502979258
"TGFbeta",0.0145696091536535,-0.0788799658032879,-0.073331673664196,-0.128102266854516,-0.128682235262257,-0.0414076328207742,-0.0414076328207742,-0.0456753814109637,0.00728562236086156,0.0175251710166294,0.001068488477497,-0.0988556903958333,0.0570065287473117,0.1019304030545,0.0733903478779772
"miR101",0.0207186402510789,-0.139261386569021,-0.204090115836159,-0.133192083805638,-0.135452542068315,-0.111571327044354,-0.111571327044354,-0.122143035590375,-0.0124532350875068,0.0368223994193688,-0.00503619082824695,-0.00512591795222872,0.0878937614305116,0.130664909481385,0.204052949607645
"SNAI2",0.040392690951153,0.0508531855801051,0.0580901800190766,-0.0384966721426251,0.00403568078528739,0.00843257543489627,0.00843257543489627,0.0153632139178033,0.0487412063903745,0.105390670859597,0.00515027961687986,0.0049697942738294,-0.0806300797861948,-0.070479656995329,-0.0581842930954355
"SNAI1",0.0860462441550747,0.0648729362141428,0.0490296453850652,0.0803687686599292,0.0145378372427405,-0.0237309225512861,-0.0237309225512861,0.0918691157747768,-0.109243310588502,-0.0360466051819016,0.022889046765399,0.0228830991755607,-0.0591574280363661,-0.0922323795785722,-0.0490642692829742
"GSC",0.0860543169371626,-0.0261655881089863,-0.125633334083016,-0.0121273193597476,-0.108021012251339,-0.108313445204244,-0.108313445204244,0.0857610027134331,0.069524971011864,-0.0167451622161359,0.0125407322354013,0.0124896232976469,0.0954524107736252,0.000906880138019977,0.125616628190258
