"","ZEB2","TWIST2","TWIST1","FOXC2","miR101","miR200c","miR200a","miR141","GSC","TGFbeta","miR200b","ZEB1","miR34a","SNAI2","SNAI1"
"TWIST1",-0.106078455797645,0.141203972497105,-0.0489906673843594,-0.171215436718146,-0.191718287428005,0.0369788423438781,0.0369788423438781,-0.0103564108329536,0.0191046892723917,0.0193372847167292,0.0466089704773241,0.0104562337445157,0.0918077196989516,-0.237170523395406,0.145305071283783
"SNAI1",-0.104765498333393,-0.0734559078994058,-0.228070333539967,-0.0788527274042678,-0.179584724885265,-0.0179580861233468,-0.0179580861233468,-0.133337235213899,0.0309717124957579,0.0309435605705231,0.0352445005697852,0.133295191909295,0.224396209745321,-0.0485050396877931,0.114261909845194
"ZEB2",-0.0909159450812347,-0.0354602763183981,-0.0272893413791359,-0.0114967462961949,-0.00918869226645523,-0.00694820635490907,-0.00694820635490907,-0.00566906308965544,0.000621310753120427,0.000773540925140521,0.0014926770148239,0.00580791672597836,0.0327600009451508,0.037408416383869,0.0560513438412435
"miR34a",-0.0838380391675432,-0.269851511917159,-0.231345582924926,-0.0780108117401739,0.00313988639733648,0.114533312081922,0.114533312081922,0.0696298740470743,-0.0674034762674605,-0.06739437526453,-0.131716380326017,-0.069613360173061,0.0597229810498994,0.181836861446369,0.204936804667069
"TGFbeta",-0.0233363099794037,-0.173373267327191,-0.162852003856117,-0.0461450058051649,-0.0650501730409036,0.00723066743693646,0.00723066743693646,-0.00540108009734021,-0.0025050376914575,-0.102438895857554,-0.109646714807597,0.00550681918848605,0.174636286553123,0.122227729616142,0.253616062980319
"ZEB1",-0.0176265024207269,-0.147650834593829,-0.138616963902459,-0.100332423104862,-0.0082568966025857,-0.00230963516708792,-0.00230963516708792,-0.0158225745884325,-0.00218525352170775,-0.00201761643680148,-0.0132336523027626,-0.0840069933663329,0.0533480033292161,0.141741942787218,0.164134904019962
"miR200b",-0.0171548363124059,-0.149063332912699,-0.134295878689703,-0.0570271896097561,-0.0424737716969974,0.00348301363991264,0.00348301363991264,-0.00834990154331109,0.0873375679978344,0.0869756343403933,-0.0433609785214555,0.00817495337980398,0.142437967250208,0.152865001078201,0.239682863127491
"miR200a",-0.000389764669353347,0.0199128213577331,0.0310308330801492,0.0210967433363986,0.0390079642736909,-0.0030598287836643,-0.0030598287836643,-0.00621792545684735,-0.0856337286738212,-0.0856086441629094,0.0311200311488923,0.00617997373883787,-0.00503384276170582,-0.0628174604733067,-0.140926656400965
"miR200c",0.000389764669353347,-0.0199128213577331,-0.0310308330801492,-0.0210967433363986,-0.0390079642736909,0.0030598287836643,0.0030598287836643,0.00621792545684735,0.0856337286738212,0.0856086441629094,-0.0311200311488923,-0.00617997373883787,0.00503384276170582,0.0628174604733067,0.140926656400965
"GSC",0.000975550709235408,0.0514308233502725,-0.0665638421490734,-0.00201641069014822,-0.211606622092862,0.0268298644406406,0.0268298644406406,0.0728867532524949,-0.00728285463212678,-0.0073074626391937,0.00956090258001356,-0.0729142688405669,0.0470056694511416,-0.142607872229955,0.175929917712079
"miR101",0.00347580910179751,-0.00210456098027486,-0.180652533268509,-0.0682088148968073,-0.187581288840609,-0.00607992785543038,-0.00607992785543038,-0.00816601608615456,0.00814032193480095,0.00826171745548217,0.0241122653157745,0.0082188671450511,0.099052635393876,-0.100923815937191,0.174432450159735
"miR141",0.0122169912030571,0.162355761820219,0.145431482310091,0.0617337979510947,0.0458953618360446,0.00310103183428798,0.00310103183428798,0.0169528447330696,-0.093187925295391,-0.0925990365392244,0.00674797244722766,-0.0166251640458658,-0.157446444474277,-0.165138819219266,-0.259818194689639
"FOXC2",0.0177203852301033,0.147267895203891,0.138622937974984,0.100543728726826,0.00832681258490525,0.0025996009615421,0.0025996009615421,0.0162443983622068,0.00153212904060961,0.00218525352170775,0.0129347262223847,-0.0158225745884325,-0.0535770548173047,-0.141688587608801,-0.164150189685535
"SNAI2",0.0266603640128207,-0.320283508944358,-0.253880983067555,-0.0108216661651399,0.214171863381362,0.0238346993475436,0.0238346993475436,0.0734909761431807,-0.227388657324575,-0.227649548460264,-0.251616103467177,-0.0736346576725684,0.0015552029513944,0.235377995981445,0.110499670866663
"TWIST2",0.0601488927925678,0.164842486914199,0.258272176083641,-0.0424405951248302,-0.0473423377021921,-0.0458794774303262,-0.0458794774303262,-0.027864883958275,0.0359279404416231,0.03565347480076,0.0872894666966202,0.0276775472182861,-0.0395072941243352,-0.185420607336542,-0.100284299125026
