"","miR200c","miR200b","miR200a","miR34a","TGFbeta","TWIST1","miR101","FOXC2","TWIST2","SNAI1","SNAI2","GSC","miR141","ZEB1","ZEB2"
"miR200a",0.151973602554853,0.188630723436014,0.0801230902870438,0.14716059277116,-0.03000529642739,-0.139032772762027,-0.0484957618609378,0.0311825190772095,-0.175703600710539,0.0945881143332087,0.192850778842809,0.0293638496483606,-0.0685564958819194,-0.0678752162610663,-0.234675966480197
"miR141",0.111969556897531,0.0279461842970812,0.108481243861403,-0.0962695491557944,0.109459089273537,0.154897169418345,0.0533642695452998,-0.0421575476264634,0.166088039460527,-0.106316993629097,-0.213375735485991,-0.109603623836409,-0.00291503319986296,-0.00292151276147434,-0.22081605115777
"SNAI2",0.137889172305702,0.294734777096921,0.0597099779369203,0.0342743075636227,0.243404564563016,-0.0868488780394081,-0.197051898725703,0.0342321418192533,-0.19231078078657,-0.0373035614530627,0.0615554340702939,-0.243463585836336,-0.0757081719597896,-0.0756917607827733,-0.198925505610812
"GSC",0.100405433648461,0.101571962193051,0.0787705678264967,0.0392182460772812,0.035547200220882,-0.124342938009461,0.000450823806137034,0.172136910241434,-0.0699666948558988,0.00678415773206809,0.104572636879239,-0.0351364357952266,-0.00766505861276917,-0.00803701040152807,-0.191682447621523
"miR200b",0.107350200405155,0.0625704767264392,0.0680591465916662,0.0372391351840409,0.120986616565326,0.105942939608527,0.0477269713286499,-0.0695073092526095,0.0663078143309261,-0.0770826263850569,-0.171207880662552,-0.122277871627022,-0.0385685583177639,-0.0375392336732141,-0.173358244043093
"ZEB1",0.0113507497112554,0.00337034367701003,0.0364319201469352,-0.0211782857229049,-0.00170891175502301,0.0623788801511469,0.00819423472524082,0.0840967327150699,0.098586813593556,-0.0496939006565701,-0.071812369244147,0.00118168672463079,0.0184505214344693,-0.0809930680649116,-0.0584960103499286
"miR34a",0.118542783555698,0.129017737245185,-0.0719159061516731,0.0572173646809613,0.0688604702471558,-0.0746654030830664,-0.0592311109158237,-0.0116662823252238,-0.246058947980912,-0.0049509654276079,0.128132791651474,-0.069299138588407,-0.0939788955527493,-0.093538682854052,-0.0524806506387865
"FOXC2",-0.0107424581943466,-0.00278264024120533,-0.0371189249333965,0.0223354807001863,0.00118168672463079,-0.0633944724804378,-0.00794656624549868,-0.0850853962455704,-0.0981140815190809,0.0490601334454986,0.0713472629918902,-0.00251007549974564,-0.0196455108087819,-0.0184505214344693,0.0584578056735578
"SNAI1",-0.00480319972707867,0.0418772392107002,-0.0772321486307827,0.0873320014126448,0.0244166905561207,-0.0376980706703216,-0.0170871128432709,-0.00896619909827224,-0.118028623463987,-0.101581691952406,0.133384389970796,-0.024532866810963,-0.0777770045614674,-0.0776425278151246,0.0799441431574935
"TGFbeta",-0.0610192884990176,-0.18981100820952,-0.0177687433599058,-0.113312253007831,-0.137207123222394,0.140263162167395,0.0830696928698301,-0.0775558551695872,0.229694874354821,-0.0662050626691669,-0.233689534107117,0.0374281337405585,0.0387892433454669,0.038464495691651,0.0888827520106636
"miR101",-0.124392615433033,-0.144128064207442,0.0127410626888751,-0.0896369432012782,-0.0619665071461761,0.0301012187319528,0.0170541707974901,0.0249666127460525,0.120816409571872,0.00402128283451689,-0.133339560027913,0.062534778931394,0.133548082712601,0.133009001911856,0.11267996907577
"ZEB2",-0.305245097719746,-0.288906942122822,-0.184251064537661,-0.11451612363957,-0.110962812400786,-0.0385007700377841,-0.0126406627641039,0.0259870818220516,0.0266657459834294,0.031470658241956,0.056073052665099,0.110838491093636,0.134554167274144,0.134837349062917,0.177651678949856
"TWIST2",-0.0750957962186123,-0.00193411851386145,-0.131371591460174,0.0695044712216596,0.00612364552351345,-0.0483018313921611,-0.039505426202188,-0.048101365334791,-0.165257544863363,0.0868732368613142,0.158580243433061,-0.00630417034709146,-0.0570603932524646,-0.0568330385703654,0.207408263494073
"TWIST1",-0.160185952603607,-0.14234958955551,-0.0444152368023663,-0.0330648717308111,-0.0663007092715855,-0.0151006404921485,0.05658370081144,-0.109204619973492,0.0987605191670313,0.00938959899272898,-0.0729558307164372,0.0669463621429361,0.116711393190207,0.116149014241693,0.22751746974293
"miR200c",-0.156592959047229,-0.154006431006656,-0.120545187556781,-0.0136519084313244,0.041532823719179,0.0900785429522092,0.0428584636442879,-0.0585322807033555,0.0759233755809381,-0.0653537470891685,-0.150682924019371,-0.0420380974389731,0.0329029707640185,0.0332574953493266,0.282133773594874
