"","miR200a","SNAI2","TGFbeta","FOXC2","miR141","miR200c","miR101","TWIST2","ZEB1","TWIST1","SNAI1","ZEB2","miR34a","miR200b","GSC"
"miR200b",0.0727596685413185,-0.182237429599351,-0.0167646370119045,-0.131811669310266,-0.105808068530656,0.17291599965331,-0.0344733707525159,0.0382054897840361,0.105915444123073,0.102377248805235,0.111665038806069,-0.248903305667999,0.132417170023528,-0.101164373606067,0.0168160005342476
"TWIST2",0.060964616895571,-0.0784692745664884,0.0746613422871849,-0.021529417203378,-0.102581715730868,0.16075082000688,-0.0609628697657268,0.0799783002814195,0.102441433054679,0.0648164265143039,-0.030565514606408,-0.223800117757523,0.0305049518419073,-0.0822421060695209,-0.0745351446832416
"miR200c",0.203719417486398,0.279096453453618,0.209944787347015,0.224884773027384,0.189995252729381,0.0142547566646656,0.0510929027609269,-0.0587836058604308,-0.189905464518481,-0.179512453638316,-0.181114068063469,-0.21849323797648,-0.216068840202462,-0.0751254490130638,-0.21023266197224
"miR200a",0.203719417486398,0.279096453453618,0.209944787347015,0.224884773027384,0.189995252729381,0.0142547566646656,0.0510929027609269,-0.0587836058604308,-0.189905464518481,-0.179512453638316,-0.181114068063469,-0.21849323797648,-0.216068840202462,-0.0751254490130638,-0.21023266197224
"miR101",0.16282061908186,0.175965551155934,0.10096630466269,0.176671506920608,0.108335029364753,0.0538236248085699,-0.00119941223098773,-0.01175570835128,-0.108349009322267,-0.0636506645740809,-0.0820460621266064,-0.218238463363527,-0.0935171297914003,-0.0778242745861762,-0.101012047902367
"GSC",0.169434793441186,0.056610393649654,0.0718018568687127,-0.198291871442849,0.164888490863113,-0.00487439540753984,0.116226652580906,-0.00782233396300324,-0.164741085927013,0.171240232178485,0.0716404111853149,-0.174813023144039,-0.0529273795999194,-0.00739424648194671,-0.071870633093592
"TWIST1",0.140342187208446,0.186782850294941,0.061696931753944,-0.149706211060453,0.155528476911135,-0.0245966002350881,0.101421258026161,-0.123777621139065,-0.155338943019312,-0.0286193043756546,-0.0217726967817522,-0.117724555164496,-0.0737051335984727,-0.031595730416516,-0.0619402212416993
"FOXC2",0.165148636321649,0.133345825920201,0.0120883004169224,0.109271940956997,0.125281303904591,-0.147529966312531,0.0139858647463238,0.066268064163434,-0.125032481273479,-0.0147397937848956,-0.107797941345313,-0.0202359022172269,-0.162364136726586,0.140930280605289,-0.0121159751830707
"ZEB1",-0.165017254614381,-0.133219174739111,-0.0121676401059621,-0.109134669421561,-0.125032481273479,0.147391639316773,-0.0141339918275093,-0.0658006140115787,0.0253462767449993,0.0147666771112592,0.107602755154148,0.0201668968715338,0.162133593046392,-0.140797424569565,0.0120883004169224
"SNAI1",0.0223288301056414,-0.116226521964076,-0.0374476098355842,-0.127000538852154,0.104914227132076,-0.0856920853198162,0.00925221521476144,0.0361924705824027,-0.104932466506868,0.0387783774890591,-0.0658282159337572,0.0540705120661986,0.0156887926419368,0.0921173959400916,0.0375891624737368
"TGFbeta",-0.075250247857183,0.240548908675576,0.0942615801963621,0.189772790306826,-0.0949569825458026,0.0191790902231334,0.0592578464371125,-0.170160132472328,0.0948085712991795,-0.173414869498822,-0.123136115571155,0.063702641234284,-0.0632660423843246,-0.152766120499771,-0.194447099974384
"SNAI2",0.0203443697819922,0.300232184033086,0.181409201954848,0.11052575037037,0.133216156753705,-0.111017638143954,0.276632016020657,-0.320425019565505,-0.132768366066545,-0.20968203096398,-0.0565652623702433,0.0928176967332276,-0.0978905431407234,-0.166160419036504,-0.18183261543736
"miR34a",0.100260566724732,-0.166925407704735,-0.053977283542193,-0.117273832512343,0.159917001703355,-0.175277926629704,-0.0377954425301282,0.0503856678616731,-0.15965985709372,0.0537819821898742,0.0996310027329087,0.0943438988810412,-0.0331688866069233,0.163324826027522,0.054024002023903
"ZEB2",-0.33565807920652,-0.27182989223802,-0.263367617747879,-0.224623789967251,-0.181298999649649,-0.177205251485103,-0.0427886145752841,0.0507270640718995,0.18067341176127,0.18875108574452,0.189012228515218,0.201987700590957,0.210930423787307,0.226157457954915,0.263824308263939
"miR141",-0.242619407047939,0.0872990635916291,0.00668173607970307,0.0838594755095935,-0.224602510277979,-0.016886570896913,0.0226340532402244,-0.108537834114624,0.224279457849069,-0.0894772631711478,-0.0397135598700985,0.263996186042024,0.13494959964479,-0.0153741042183659,-0.00670920959165405
