"","miR200b","miR200a","miR200c","TGFbeta","miR141","FOXC2","TWIST2","SNAI1","TWIST1","miR101","SNAI2","GSC","ZEB1","miR34a","ZEB2"
"miR200b",0.179680117194393,0.140501824343112,0.0916383336091998,0.164417884481699,0.0459635540231805,0.0330954264776339,-0.0346728737033573,-0.0560471897412698,-0.0316093045582897,-0.116861238608167,-0.176097376179898,-0.164199290886611,-0.0459589257648867,-0.123511340728835,-0.235204628923964
"miR200c",0.0893417244299133,0.115434573452561,0.0921659597887219,-0.0717288150943418,0.0223590609178472,0.00332835468592809,0.0396240196312715,0.0941850039249084,-0.0350421338529487,0.071052432426924,0.0474517676898373,0.0718470706457829,-0.0223229605031552,-0.02543116940496,-0.208313215199191
"TWIST2",0.042370955526065,0.0280243675884968,0.132787560677218,0.00201854900370526,-0.107442837215514,-0.0881975249801271,-0.0592231626923058,-0.161785941845768,0.0630904615719525,-0.0944988129261018,-0.0526576275285728,-0.00187763777777759,0.107410734910305,-0.0275689508408387,-0.163831510830049
"SNAI1",0.112244989304469,0.123411203803007,0.0103698726573137,0.0559759472829339,0.11157534062302,0.0646066688125728,-0.0756367523297509,0.0460007386643889,-0.143568379279967,0.0852440238877217,-0.0785412609990578,-0.0559295560821948,-0.111554318970719,0.0707569102542687,-0.142966028478486
"TGFbeta",0.132409738129936,0.0340843184682911,0.000287628638612375,0.115234248854488,0.0301060899945045,0.0395360947208019,-0.0849327236520503,-0.0431164356453743,-0.0161306235883709,-0.0884527075188622,-0.1306320146052,-0.215072927308382,-0.0301898654762136,-0.0981681573145207,-0.0390751681155638
"ZEB1",-0.010692577900862,0.00604910810468707,0.0148592066592611,-0.0053493426111987,-0.00774102436754446,-0.086785692713899,0.0159023734379824,-0.0686561212017354,0.073104953652002,0.0316719110531966,0.131685239669148,0.00522009569840837,-0.0922218815990809,0.00158173847768576,-0.0281731312771215
"FOXC2",0.0107442441369767,-0.00595592548411397,-0.0149315534143644,0.00522009569840837,0.00789373525273364,0.086639166917647,-0.0160159347743088,0.0685279567750066,-0.0728540426059419,-0.0317157566692275,-0.131552121193705,-0.00539167924852737,-0.00774102436754446,-0.00175259447368669,0.0281467730120284
"SNAI2",-0.305717698113699,-0.113047079165392,0.0371154869484101,-0.256190778724774,-0.148896230004129,-0.137909876342405,0.243859809044104,-0.170206069913899,-0.0112295000557537,0.165613742739879,0.190683031873065,0.255904226165902,0.149087470454666,0.0235439864092563,0.0768882338710607
"TWIST1",0.0812984860586741,0.0204153516400324,-0.127186569315031,0.0476783577759258,0.140454542026185,0.223728882926779,-0.167498564224032,0.223822329086596,-0.0985805532230411,-0.035523305081944,-0.227028641144119,-0.0476930620856253,-0.140473988047918,0.00217058136373304,0.107600732857363
"miR34a",-0.0990064371987434,0.00135053572773812,-0.126710909814538,-0.0254707339714219,0.037879418885713,-0.0628027591480997,0.069814601094564,-0.0948577713224742,0.0389175393000735,0.050840716295904,0.178458673708884,0.0253075226522012,-0.0378053423651391,-0.0580485360298695,0.151675530882564
"ZEB2",-0.319515567268754,-0.30913051165509,-0.204779931726613,-0.118261409594774,-0.117702789011062,-0.0179555759695656,-0.00427208268408247,0.0178842477201855,0.0255685677799731,0.0589036549275481,0.0992561973774817,0.117817404926382,0.117959095902482,0.120378339698992,0.20460838085661
"GSC",-0.145518950932687,-0.158925339753764,-0.0452770943570483,-0.0596363687238816,-0.112099832610057,-0.0447973766950625,-0.0121319207289077,-0.051839498924667,0.182757522337109,-0.0810745011335319,-0.0060675955927527,0.0595549730081987,0.112105728807501,0.0211122291266156,0.221435351330742
"miR101",-0.19030427928346,-0.180130709095631,-0.0452925170126617,-0.0771387003722761,-0.131548872002463,-0.0765576858138207,0.0511301379256612,-0.164943269337702,0.175155611119367,-0.066652657796572,0.132564010517172,0.0769574867689403,0.131563533909125,-0.000454688470759162,0.228446460823986
"miR200a",-0.0489021038912348,-0.123614201228622,-0.107022263268875,0.0823606871130844,-0.0162661194078767,0.0255366775166735,-0.03543218580987,-0.0507309046842484,-0.0211133703473616,-0.0956434964209398,-0.140102878002731,-0.082627060728957,0.0163623871803886,-0.0727362927550643,0.231883404796432
"miR141",-0.179680117194393,-0.140501824343112,-0.0916383336091998,-0.164417884481699,-0.0459635540231805,-0.0330954264776339,0.0346728737033573,0.0560471897412698,0.0316093045582897,0.116861238608167,0.176097376179898,0.164199290886611,0.0459589257648867,0.123511340728835,0.235204628923964
