"","miR200b","miR200c","miR200a","TGFbeta","GSC","miR101","ZEB1","miR141","TWIST1","miR34a","FOXC2","TWIST2","SNAI1","SNAI2","ZEB2"
"SNAI1",0.153179751515776,0.188704746236452,0.188704746236452,0.0427383423276818,0.0418434283100056,-0.0922903361409747,-0.0809627643540258,-0.081366503735,-0.364072522335117,0.168258586013613,-0.148020492970258,-0.223536488129505,0.250548606662064,-0.25679756600485,-0.332515539427294
"miR200c",0.0662172249546634,0.168477284556732,0.168477284556732,-0.0814390937703296,-0.0823218296543197,-0.132986109576194,-0.0167311087341718,-0.0171013693976789,-0.0743519789818377,0.000171948370001537,0.0271080153638054,0.0863485204960572,0.123313800593252,0.144003792540717,-0.329584263816107
"miR141",0.132153472352482,0.110170554264102,0.110170554264102,0.150504221765459,0.150567530292998,0.120738265779712,0.0320183923388428,0.0320146897322077,0.154778656938568,-0.0977801308462532,-0.0059129659854115,0.021475034628441,-0.181635055595957,-0.0620940996533935,-0.256897931202358
"miR200b",0.190178255001201,0.100730176295052,0.100730176295052,0.167944471318477,0.168084227879271,0.159794768913315,0.0472478632429504,0.0473283949372632,0.0963307042610571,0.0141464432462798,-0.0303893885539093,-0.108330254962951,-0.150594570351257,-0.172110143133987,-0.253633183009135
"miR200a",0.190178255001201,0.100730176295052,0.100730176295052,0.167944471318477,0.168084227879271,0.159794768913315,0.0472478632429504,0.0473283949372632,0.0963307042610571,0.0141464432462798,-0.0303893885539093,-0.108330254962951,-0.150594570351257,-0.172110143133987,-0.253633183009135
"TWIST2",0.0146580840826242,0.173313858255749,0.173313858255749,-0.0125950327065026,-0.0131320799089338,-0.111185616888047,-0.128895169676138,-0.129075910052043,-0.0212637040401008,0.00305495507771839,-0.110079757472778,0.0756703999933072,0.17015383275099,0.0618514431441477,-0.227529867346111
"GSC",0.171541700122999,0.0603407850821785,0.0603407850821785,0.0631034768333446,0.0627823107923943,-0.0163252086590708,0.080861117606671,0.0807559687522531,-0.0682180816579898,0.0968096357252575,-0.193473385732811,-0.150789527850563,0.136879634900902,-0.1962431496626,-0.212573713808972
"SNAI2",-0.226339749857087,0.147495456043164,0.147495456043164,-0.22948481122114,-0.230563446375579,-0.38529452384243,-0.145130678355686,-0.145467944789471,-0.0316302084479381,0.0071183847140271,-0.151870054824011,0.305746992149588,0.265484326948209,0.212600666421652,-0.158110839242769
"miR34a",0.0794599262162398,0.0707438032963854,0.0707438032963854,0.0180781235723107,0.0180216973541414,0.08832013358397,-0.0364935031456362,-0.0365520094421404,-0.161850703034977,0.0387163339289978,-0.0334796174740479,-0.30424854368955,0.0931878351981882,-0.248052228849333,-0.0167759895657988
"FOXC2",-0.0292193319804526,0.0112775475402829,0.0112775475402829,-0.0121159412719787,-0.0122045005236531,-0.0479500516329205,-0.017778548696056,-0.0178757283502673,0.0743969340735623,-0.0104542297268139,0.0822124854868842,0.132268662294408,-0.0544609626393293,0.151253737532403,-0.00394475290706541
"ZEB1",0.0289323998477442,-0.0115790888155537,-0.0115790888155537,0.0121248989788058,0.0121159412719787,0.0485816655070954,-0.0821577899223416,0.017778548696056,-0.0734171861794229,0.0100490995703576,-0.0814243309407286,-0.13252483554147,0.0545103470973349,-0.150955703050946,0.00425542504282528
"TGFbeta",0.107213160267038,-0.105742924783104,-0.105742924783104,0.119377064599568,0.220119143711654,0.165624384414547,0.116949588300838,0.11715071221011,0.16516377949457,-0.0835305559149633,0.0165309687534435,-0.0744476908279756,-0.230143100535953,-0.104033067151668,0.105085345306676
"TWIST1",-0.0918332915978389,-0.171839574871062,-0.171839574871062,-0.0283940802499051,-0.027351411016668,0.164048216059902,-0.0017291080718735,-0.00138400600618743,0.208050214899379,-0.0876336891872649,0.0788045882150197,-0.0127769354621508,-0.332614454357685,-0.0312260974004149,0.361902036534354
"miR101",-0.143502855505432,-0.219855851840387,-0.219855851840387,-0.034509710362043,-0.0334118726097955,0.10960410010413,0.0844647128736906,0.084908320793848,0.284184348132728,-0.0693846496570396,0.136501154319085,0.102359808758309,-0.292274614035987,0.170499280981887,0.374162113913024
"ZEB2",-0.384177093520151,-0.333739626925299,-0.333739626925299,-0.13217100235942,-0.131201803597558,-0.0735794745657487,-0.0614859998712196,-0.0610067308684276,-0.0546345948581427,-0.0308156658567621,0.00755396939847553,0.05775897079684,0.0713364479362571,0.0775072482765713,0.409057370579674
