"","GSC","TGFbeta","miR200b","SNAI2","miR34a","miR141","TWIST2","FOXC2","ZEB1","miR101","TWIST1","SNAI1","ZEB2","miR200c","miR200a"
"miR200c",0.0120199867424609,0.0129051116274902,0.118616504810363,-0.0661222412255862,-0.115012119157776,-0.0057615865016987,-0.0267400383196428,0.0129601290803641,0.00512381250880771,0.0975840858725628,0.111268387449283,0.128799133266219,-0.270880085874886,-0.130350194947648,-0.130350194947648
"TWIST1",0.0967663390923706,0.0981164620738699,0.099966381634977,-0.0337967184041422,-0.0117473502092963,-0.0040303244588802,0.0621546102081617,0.0256726688503665,-5.77478699494316e-05,0.0422326971086537,0.0444688702365745,0.0322441420610452,-0.26226394857794,-0.125421142991644,-0.125421142991644
"miR101",0.128118671549337,0.127967366987329,0.145829981547928,0.0823431246847246,0.0499928254037179,0.11593844432246,0.00466704406921183,-0.058874303072633,-0.117832558078397,0.0103946267870695,-0.0117109233163122,-0.00838654346677019,-0.250468968626679,-0.18154806810384,-0.18154806810384
"miR200b",0.177182901012187,0.175210780654314,0.074522663471154,0.100686311325928,0.154757214108085,0.0291270513881851,0.0244435056454878,-0.0220639938111959,-0.0285272291133036,-0.146498134964818,-0.178969358735712,-0.196017641812606,-0.189747094195136,-0.110804059275066,-0.110804059275066
"SNAI1",0.074509861661189,0.0727125000120413,0.0637346860928792,0.0461253670314421,-0.0359033313609886,0.064689400328796,-0.0496983584573766,-0.0405450928021877,-0.0603212246372454,0.0362771669472584,0.0184721260158637,-0.0667120824274167,-0.187867523492631,-0.114624538855671,-0.114624538855671
"ZEB1",0.00651414563219552,0.00526262602121593,0.00325843113702348,-0.110096794885697,-0.0489418213222296,-0.0243894636807372,-0.0220809666555458,-0.0819472816024432,-0.0730365111654981,0.112892805391123,0.116254681493667,0.122489748598526,-0.0368820851781275,-0.00082740905680613,-0.00082740905680613
"GSC",0.0352806779388876,0.0337619222206808,0.0544949281147131,0.0376637765690767,0.100976982207817,0.0708678904723607,0.026709964298498,-0.0987763974107487,-0.0686897368665902,-0.155147781141367,-0.2640683368198,-0.168288274730668,-0.0226976257774536,-0.0500215405006357,-0.0500215405006357
"FOXC2",-0.0034754563091203,-0.00651414563219552,-0.00212361916521848,0.10741556243497,0.0536325272037048,0.0283012117398138,0.0172427255357782,0.0878561271334064,-0.0243894636807372,-0.118006152233646,-0.121652256020222,-0.118289718027195,0.0371335252574985,-0.00157508198666559,-0.00157508198666559
"SNAI2",-0.0332554132198836,-0.032910694768465,-0.0355844823358095,-0.115136506881913,-0.0428113959075186,-0.0734352281960774,-0.00541796931690557,0.0530532204358216,0.0714434471814647,0.00150834505464775,0.0722019780503655,-0.0191474871651408,0.042846465985161,0.0585979968946037,0.0585979968946037
"TGFbeta",-0.0183401129092983,-0.118941842276273,-0.10443065076057,0.0287454273149655,0.113214269529342,-0.00888787734022937,-0.0209260385443027,-0.0177785714841947,0.0113744716943267,-0.0889624292646858,-0.116491330715847,-0.1345944649633,0.073599136261378,0.0374935767786688,0.0374935767786688
"miR34a",-0.0324010696872987,-0.0340701936247566,-0.0476202343455909,0.0944730265541286,0.0700772464754552,0.0796651371813298,0.0243504243109861,0.0708250444725415,-0.0755498797772164,-0.0890207807642491,-0.0536794998646062,-0.0550164631554601,0.159916226509354,-0.0208557755464806,-0.0208557755464806
"TWIST2",-0.0495185618239069,-0.0485559514010034,-0.0586315516167018,0.0890305228708112,0.0347134363930958,0.108752726594653,-0.076865330260854,-0.019288192477453,-0.110724599698198,-0.0219159883448379,-0.0105888346150328,0.0233641206188185,0.164257918681008,0.02774104462029,0.02774104462029
"ZEB2",-0.248012248607883,-0.247210503035244,-0.244208873549225,-0.101614964951602,-0.0986881265991884,-0.0443402912031818,0.00810098128727968,0.0197485489156483,0.0438510685347036,0.142008721022398,0.167014906716847,0.178465171743444,0.18637916912139,0.269198026196592,0.269198026196592
"miR200a",-0.169233921613828,-0.169884924397015,-0.0392530091389734,-0.027799697487005,0.00493099059911635,0.0145494605703777,0.0130722015435353,0.0515105080962173,-0.0117586208191929,0.0638224431756381,0.0793406695483071,0.111654109762274,0.219235241346025,0.101865282237966,0.101865282237966
"miR141",-0.169233921613828,-0.169884924397015,-0.0392530091389734,-0.027799697487005,0.00493099059911635,0.0145494605703777,0.0130722015435353,0.0515105080962173,-0.0117586208191929,0.0638224431756381,0.0793406695483071,0.111654109762274,0.219235241346025,0.101865282237966,0.101865282237966
